"ModeTransport",Homme,Femme
"Automobile, camion ou fourgonnette - conducteur",689400,561830
"Automobile, camion ou fourgonnette - passager",21315,40010
"Transport en commun",181435,238330
"A pied",43715,54360
"Bicyclette",24295,13765
"Autre moyen",8395,6970
