"OID","nb_accident","X","Y"
329,0,297397.178025381,5042490.86079719
330,0,297397.503433307,5042867.57735492
331,0,297404.110022806,5042671.07666778
332,0,297404.763666986,5043511.12549077
333,0,297408.193386276,5042346.36288643
334,0,297415.64922622,5043396.75937459
335,0,297417.707391523,5042662.07924159
336,0,297420.377618256,5041777.99942297
337,1,297421.71336593,5042126.34276643
338,0,297421.900339377,5043158.5760565
339,0,297430.395898582,5042121.12426666
340,1,297435.797103792,5043976.52579146
341,0,297436.627161496,5042926.10192303
342,0,297436.82657768,5040370.36621706
343,0,297437.71045931,5042726.07791641
344,0,297440.504348883,5043552.73600566
345,0,297444.000222757,5041814.99580791
346,0,297446.101760911,5043559.24718077
347,0,297450.608336661,5042748.07776695
348,0,297451.664556963,5043565.71808894
349,0,297456.859668914,5043571.76128952
350,0,297458.295047811,5043551.20377077
351,0,297459.026005603,5043574.29133658
352,0,297460.098602724,5041770.81068711
353,0,297463.806422857,5043557.84842869
354,0,297466.602542142,5043228.65145524
355,1,297466.941824652,5042443.10279914
356,0,297471.150763891,5042206.91938558
357,0,297476.830915263,5044041.68172308
358,0,297481.957877874,5042203.60862612
359,0,297485.072437568,5044584.25600408
360,0,297487.970432274,5041882.67586705
361,0,297489.980294046,5042807.74426294
362,0,297497.462099881,5043817.76995112
363,0,297505.221787436,5043031.20492332
364,0,297506.102541111,5043633.08782665
365,0,297510.927746747,5041917.36061189
366,2,297513.513295883,5042516.0746163
367,0,297517.186104681,5042280.4570675
368,1,297519.005415745,5043196.08338985
369,0,297519.888389337,5043578.15035447
370,0,297526.692513276,5044121.08785112
371,0,297527.183196888,5042866.04132705
372,0,297529.339457928,5042276.80729163
373,0,297529.933432966,5041763.50077323
374,0,297532.815734109,5041951.5764654
375,0,297537.801952484,5043671.15243999
376,0,297549.576748365,5043491.47607982
377,0,297552.810827875,5042574.07660061
378,0,297555.001382462,5043259.57894363
379,0,297560.443766698,5042995.83330965
380,0,297568.085997529,5043638.91901098
381,0,297572.129116121,5044202.52412673
382,0,297575.081050284,5042369.7835497
383,0,297577.404649956,5043478.04270493
384,2,297579.909861935,5042027.57363869
385,0,297581.845321599,5041635.2424922
386,0,297584.538242609,5043741.3905908
387,0,297585.455725027,5042363.00099279
388,0,297587.210181227,5042627.57316948
389,0,297587.533999662,5044300.08540093
390,0,297588.20708876,5043749.66998013
391,0,297589.646211721,5043532.95324043
392,0,297590.745137771,5043047.0323203
393,0,297590.960374609,5043452.1428328
394,0,297591.570772242,5043757.26071682
395,0,297594.71104705,5043764.347293
396,0,297595.135733991,5043875.78598901
397,0,297595.494782171,5043329.13270316
398,0,297598.221828469,5041128.02929882
399,0,297598.394115879,5043772.68990328
400,0,297609.462480429,5043733.71877914
401,0,297610.398660139,5043953.58827666
402,1,297611.583660644,5043378.65472853
403,0,297614.347522929,5043739.61450205
404,0,297619.46819484,5041801.11369264
405,0,297620.560004509,5043431.6556163
406,1,297622.087763684,5042444.84636335
407,0,297628.521598252,5044275.62322037
408,0,297631.309293847,5043208.30590354
409,0,297631.801115521,5042438.52402046
410,0,297634.176326174,5043122.83337713
411,0,297634.915983258,5042109.57415567
412,0,297636.704940889,5042711.0743915
413,1,297637.894734984,5044481.59829632
414,0,297649.836217992,5043296.62272625
415,0,297652.952364364,5041808.73041859
416,0,297654.716842826,5041877.07228346
417,0,297657.31175979,5042745.08203162
418,0,297657.542507294,5043490.62327224
419,0,297658.666547074,5042502.56453156
420,1,297662.695913597,5041078.19998373
421,0,297662.764401714,5044033.37837868
422,0,297666.191700443,5041656.68967177
423,1,297667.829797502,5042496.01703994
424,0,297669.551294975,5044533.36973099
425,0,297669.860104352,5043184.39348262
426,0,297673.904617461,5042772.08290247
427,0,297677.380834469,5043684.96574882
428,0,297679.374520889,5043276.60302378
429,0,297681.078831673,5044454.60432544
430,0,297681.809245986,5042182.07009702
431,1,297693.109440332,5042804.57588803
432,0,297694.575922335,5042558.7213232
433,0,297699.494495004,5044582.99194518
434,0,297700.244953318,5041712.29144926
435,0,297701.350423683,5043556.60554873
436,1,297702.114729583,5041950.57166168
437,0,297704.786288227,5042552.25147224
438,0,297704.917455466,5041689.4199256
439,1,297706.559946218,5043160.47691679
440,0,297710.173004291,5041657.6895196
441,0,297710.852267689,5043257.06177361
442,0,297713.335764148,5041700.56937662
443,0,297713.502079426,5044504.47940179
444,0,297721.805055604,5042852.57984684
445,0,297726.703748803,5044105.10954831
446,0,297733.710434729,5042264.57982707
447,0,297737.405782831,5043299.58510277
448,0,297739.007449638,5042881.57966723
449,0,297740.180969723,5042608.94520355
450,0,297741.659051093,5043836.5818859
451,0,297745.606447867,5042525.08030331
452,0,297745.912701426,5044552.21256824
453,0,297745.913711458,5044659.10972424
454,0,297746.826713544,5041615.4199567
455,2,297747.893924731,5041766.19021006
456,0,297751.640492799,5043634.28975749
457,0,297751.955356426,5043230.93396886
458,0,297756.337412779,5043129.31031532
459,0,297763.202695637,5043341.58372157
460,0,297766.556268798,5042673.42375252
461,2,297768.303537067,5042931.34201892
462,0,297773.040037487,5043665.6119433
463,0,297776.662702958,5042666.81908424
464,0,297781.707830445,5042582.07632336
465,1,297782.306730794,5042338.57413617
466,0,297784.514949526,5041818.57676684
467,0,297792.414920931,5044168.90630003
468,0,297792.580214276,5044452.81149114
469,1,297795.778742743,5043104.29767676
470,0,297800.843386824,5043399.94084462
471,0,297802.112511744,5042732.7264606
472,0,297802.220335683,5043198.94899068
473,3,297810.283686715,5043007.58727957
474,1,297812.39324973,5042725.80951805
475,0,297817.307730517,5042558.58009743
476,0,297817.842351204,5042639.8843599
477,0,297820.810909515,5042397.08022485
478,1,297821.71683977,5041875.57254484
479,0,297827.031223934,5043183.4271711
480,0,297833.82243792,5042779.79681528
481,0,297837.85676654,5043765.13006713
482,0,297843.430381742,5043465.70740699
483,0,297847.223935164,5043066.82297041
484,0,297849.01615235,5043169.5379053
485,3,297850.913256002,5042806.41006647
486,0,297854.138011821,5042698.33012491
487,0,297854.808949468,5042535.08028992
488,0,297854.869736415,5042616.24291298
489,0,297857.007632582,5042453.07990103
490,0,297860.07968268,5042800.23292168
491,0,297860.483112437,5043220.36056335
492,0,297872.208427813,5043817.26395064
493,0,297874.808022991,5041960.07736933
494,0,297882.93811493,5042856.896852
495,1,297890.882192678,5043142.91445471
496,0,297891.008456877,5042590.57982529
497,0,297892.231619703,5042673.46637251
498,0,297892.711448397,5042509.57748808
499,0,297892.745432474,5042850.70882785
500,0,297896.678855613,5041817.13435322
501,0,297897.720542214,5044311.47204941
502,0,297907.667645116,5043249.06307226
503,0,297910.250858337,5044043.23397953
504,0,297911.453212539,5041818.116521
505,0,297911.596842741,5042879.3133377
506,0,297912.993829519,5044350.33060192
507,0,297913.093595897,5043879.09085491
508,0,297915.28708641,5043183.39879294
509,0,297915.000796465,5044355.48505322
510,0,297917.78024753,5044362.66262368
511,0,297920.234050379,5041802.15593065
512,0,297921.257128843,5044371.64121695
513,0,297921.708599366,5042033.07379701
514,0,297923.84787896,5044378.33149179
515,0,297926.811581695,5044385.99099987
516,0,297928.308915153,5042052.07541838
517,0,297928.686485924,5044637.37386249
518,0,297929.380990024,5042930.72339949
519,0,297929.506833893,5042649.43592807
520,2,297929.908591543,5042565.58266205
521,0,297931.488275118,5044624.17292526
522,0,297938.569202378,5042924.72734645
523,0,297938.686051876,5044428.07710112
524,0,297942.896700363,5043231.08325908
525,0,297944.318685708,5044533.25906161
526,0,297944.398442289,5043927.59400479
527,0,297945.765913052,5044459.19840818
528,0,297963.69469386,5039840.78953474
529,0,297965.274214919,5042987.45989547
530,2,297967.409863305,5042113.08001235
531,0,297968.029350884,5042624.16140972
532,0,297972.723373429,5043088.12063139
533,0,297974.822828255,5042981.01994566
534,0,297976.902804849,5042724.08619145
535,0,297977.397975753,5043286.08551644
536,0,297981.422823721,5039853.38288268
537,0,297986.793238172,5043992.09121367
538,0,297995.845965012,5044681.8744357
539,0,298000.771768305,5041766.98532961
540,1,298001.939026766,5043129.09391033
541,0,298011.084044241,5043059.58665201
542,0,298011.708528283,5044164.58136717
543,0,298014.968175627,5042187.45722037
544,0,298015.913707486,5042699.07400808
545,0,298018.097709801,5043353.08695843
546,0,298020.22140707,5043054.26869591
547,0,298031.806708844,5042944.08730318
548,0,298035.092495262,5044065.59243135
549,0,298039.759486067,5043103.85739784
550,0,298042.19996876,5043392.08665195
551,1,298044.333192661,5044643.22405053
552,0,298048.525925187,5042749.62745898
553,0,298049.06341678,5042327.50271142
554,0,298049.19644701,5044650.91993163
555,1,298049.429746292,5043097.38294602
556,0,298051.757615786,5042246.26543053
557,0,298054.488702246,5044299.59026657
558,0,298057.299085692,5044269.9194464
559,0,298058.104120142,5042975.08173203
560,0,298059.646757292,5042929.28360543
561,0,298062.963924969,5044276.71117774
562,0,298066.303458621,5042778.0830258
563,0,298069.892407349,5042995.07988821
564,0,298070.205037437,5043150.7902527
565,0,298073.984371914,5044125.04730161
566,0,298079.741719826,5043013.92920405
567,1,298080.294432538,5042832.3723927
568,0,298080.625128088,5043144.10975172
569,0,298083.489373253,5044139.58841219
570,0,298086.74529376,5042384.51042552
571,0,298087.241497765,5040148.0588159
572,0,298087.294128622,5043466.09220302
573,1,298087.405202671,5042301.57961156
574,0,298087.790050175,5039888.27862025
575,0,298088.142473375,5043023.48694476
576,0,298090.190818509,5044714.09291691
577,1,298095.321535378,5042822.73949253
578,0,298095.379959602,5044362.16805112
579,0,298104.088121564,5039947.49476506
580,0,298104.650826725,5040035.00258215
581,0,298105.386316722,5043203.8221396
582,0,298106.814942497,5041937.0790803
583,0,298109.417025365,5044241.64066645
584,0,298110.741546025,5043057.69526158
585,0,298115.464618835,5043197.61639193
586,0,298119.05561687,5042350.39813763
587,0,298123.270054404,5040027.1242045
588,0,298124.109504252,5042440.58313736
589,0,298124.407166569,5042358.57639466
590,0,298128.68331524,5040049.56366362
591,0,298131.33178875,5044415.42550128
592,0,298132.908867994,5042736.18467886
593,1,298138.439345933,5044222.62791729
594,0,298140.798587869,5043552.08748596
595,0,298142.302326723,5043104.08844393
596,0,298145.459999592,5044574.94766371
597,0,298147.073317639,5041998.81663455
598,0,298147.428052703,5042692.39768675
599,0,298148.815826365,5043268.66624916
600,0,298150.797926389,5040293.51478897
601,0,298152.708935193,5042403.58038484
602,0,298152.831907474,5044583.14787807
603,0,298158.868721573,5043262.1391421
604,0,298160.910298364,5042417.08143961
605,0,298161.003452978,5042499.0759692
606,0,298167.033968688,5044469.99243346
607,0,298169.111448363,5042249.0812958
608,0,298169.605106001,5042600.57926382
609,0,298171.891260315,5041638.38513733
610,0,298173.065691795,5043304.86087131
611,0,298177.602526225,5043157.58598965
612,0,298178.962021399,5041649.4632623
613,0,298179.494918775,5042528.33441917
614,0,298179.823756562,5043613.66951305
615,1,298181.402742685,5042765.57695512
616,0,298182.717804308,5043298.34555169
617,0,298185.903474519,5042453.87001459
618,0,298187.854600933,5039878.27102773
619,0,298195.146865362,5042072.20654151
620,1,298198.407028913,5042475.08134844
621,0,298200.701941412,5042298.77760047
622,0,298203.102009363,5044524.65606476
623,0,298217.71096205,5042504.07655611
624,0,298220.407165184,5043675.09227928
625,0,298220.970095812,5042827.77368593
626,0,298221.157867213,5043377.19156698
627,0,298221.188025447,5044551.39487526
628,0,298221.000302235,5043221.58809424
629,0,298230.657468435,5043370.94947827
630,1,298233.913052827,5042129.57362739
631,0,298246.096086796,5044149.59550589
632,0,298249.900620083,5039966.95415334
633,0,298250.00726053,5042556.07642494
634,0,298251.502250693,5042878.08243461
635,1,298252.594842694,5043725.08634957
636,0,298254.916623973,5040290.07531714
637,0,298256.490408109,5044605.29323983
638,0,298267.30500007,5042109.07885444
639,0,298268.708716636,5042185.57942057
640,0,298269.302505414,5042907.5796728
641,0,298270.965155031,5043189.59932533
642,0,298276.111237898,5043461.03126807
643,0,298280.537470753,5044486.00139685
644,1,298283.10556068,5042609.58368205
645,0,298286.076097829,5043454.01984211
646,0,298289.552073702,5044491.96486021
647,1,298289.607239707,5041819.57593191
648,0,298291.200349411,5042941.58593774
649,0,298295.492177906,5043789.09591842
650,0,298295.865419235,5043227.33442226
651,0,298297.421965363,5044227.17681941
652,0,298299.000203581,5042235.45675003
653,0,298302.209188149,5042163.57864367
654,0,298315.912198204,5040057.7688211
655,0,298317.100876861,5043522.32232864
656,0,298321.399922462,5042989.08785914
657,1,298322.602930853,5042675.07916878
658,0,298324.022142576,5039791.00834161
659,0,298326.161118642,5043516.0602456
660,0,298330.752976131,5041882.26429795
661,0,298330.770463368,5042285.60146544
662,0,298331.831052792,5044280.47407712
663,1,298342.800212841,5043299.59238964
664,0,298343.436116645,5043862.71085427
665,0,298349.44790809,5039774.27405717
666,0,298354.50149294,5044448.64973834
667,0,298356.534502188,5039784.34215909
668,0,298357.10322166,5043042.08333128
669,0,298357.096742226,5043958.59147292
670,0,298357.665700895,5043583.93429152
671,0,298361.216551618,5041530.57499543
672,0,298361.993337969,5042336.56180935
673,1,298362.198916423,5042737.087008
674,0,298367.010530216,5043577.79521454
675,0,298368.014110245,5039797.26163468
676,0,298370.267483642,5044336.30597623
677,0,298377.594051994,5043350.58538414
678,1,298379.313152398,5041955.07585104
679,0,298379.939545113,5041500.17754255
680,0,298387.626959618,5039874.23895718
681,0,298387.961626772,5041512.33954423
682,0,298390.913694488,5043633.71636142
683,0,298392.396847794,5043935.09125242
684,0,298392.820132763,5040148.58878042
685,0,298393.803175395,5042787.58454063
686,0,298394.80711491,5042387.08420319
687,0,298396.431459682,5040517.56398676
688,0,298397.692869863,5043380.58747919
689,0,298400.400728929,5043106.0907783
690,0,298400.408319693,5043627.14381942
691,0,298411.994168932,5044040.58773468
692,0,298412.001039412,5042817.58012178
693,1,298415.766691595,5044402.95566437
694,4,298416.904229768,5042014.08043081
695,0,298423.49868959,5042697.21864924
696,0,298426.09470145,5039848.17188147
697,0,298429.079210948,5044427.06582286
698,0,298430.607411101,5042440.58417218
699,0,298433.098698488,5042851.57997119
700,0,298433.548235512,5043698.66448926
701,0,298437.492432719,5043442.08451005
702,0,298443.130456888,5043692.36609327
703,0,298445.33459382,5042870.09751108
704,1,298447.594306264,5044017.09112677
705,1,298453.0584687,5042067.71643763
706,0,298455.79287882,5042747.28724896
707,0,298456.218118082,5044473.2282129
708,1,298456.740659006,5040229.06225284
709,0,298457.536581221,5040604.06330077
710,2,298463.402171557,5042491.08570573
711,0,298463.601051927,5042898.58528962
712,0,298465.741830258,5044467.11723816
713,0,298471.924223839,5039955.26879155
714,0,298472.509087232,5041702.07765477
715,0,298474.709899908,5043501.61297483
716,0,298474.99091875,5044461.76425636
717,0,298477.385549124,5042189.77672012
718,0,298481.908895878,5043771.69791318
719,0,298484.812457936,5042115.57892958
720,0,298491.062643217,5043765.58014898
721,0,298495.161845575,5039994.34830716
722,1,298498.503720448,5042951.5843074
723,0,298501.326785547,5040779.32906188
724,0,298503.046732289,5039934.2808538
725,0,298505.730940573,5042556.14951459
726,0,298507.191084378,5043978.59581621
727,0,298507.361453703,5040803.50790588
728,0,298508.294337219,5040014.26709301
729,0,298508.912845788,5043553.49969925
730,0,298508.931620132,5042240.67164865
731,0,298511.317082531,5040297.18363413
732,0,298511.90789485,5041763.57579453
733,0,298517.009408096,5042165.58287067
734,0,298518.356953444,5039785.52809026
