"CTNAME","PopTotal","HabKm2","PctFRev","TxChomage","PctImmigrant","PctImgRecent","PctMenage1pers","PctFamilleMono","PctLangueMaternelleFR","PctLangueMaternelleAN","PctLangueMaternelleAU"
"0881.01",3470,6436,15.418,7.673,17.403,5.525,44.126,24.432,83.982,2.994,13.174
"0881.02",3595,5880,14.465,6.25,18.433,5.37,43.575,23.784,82.143,2.714,15
"0882.00",2590,3712,16.216,8.741,16.729,4.275,43.182,25.362,83.3,3.777,13.121
"0883.00",2440,2453,24.795,10.638,17.537,3.967,47.909,16.129,79.921,4.724,15.551
"0884.01",3400,4725,19.118,11.111,41.277,16.312,41.36,13.483,51.783,5.736,42.481
"0884.02",7105,3680,31.738,8.669,15.963,4.295,54.722,20.117,85.317,3.201,11.482
"0885.00",3305,2039,35.25,6.479,15.822,3.84,46.491,21.084,86.87,2.387,10.743
"0886.01",3090,702,16.019,2.841,9.329,0.655,38.333,18.75,86.326,3.624,9.885
"0886.02",3055,1444,11.62,7.242,10.448,1.493,25.397,15.385,88.127,2.676,9.197
"0886.03",2820,1273,26.241,6.34,8.117,1.382,44.218,22.222,89.52,1.954,8.703
"0887.03",3595,315,17.524,4.534,8.75,1.25,12.453,11.304,92.525,2.116,5.219
"0887.04",5110,2610,23.679,5.904,7.185,1.378,31.466,18.447,91.782,2.079,6.139
"0887.05",4700,2367,20.638,5,9.477,1.852,19.681,14.094,91.224,1.842,7.042
"0887.06",4515,2534,11.517,5.415,9.247,0.968,17.211,14.801,89.876,2.812,7.424
"0888.01",3115,103,10.433,2.105,6.061,1.116,27.481,15.873,90.554,2.606,7.003
"0888.02",5410,2282,21.719,3.986,6.464,0.475,16.749,9.467,93.4,1.627,5.063
"0888.03",4335,2035,31.373,4.93,5.942,0.336,23.014,7.829,93.889,2.444,3.778
"0889.01",2405,1746,36.59,3.057,3.926,0.413,47.266,23.256,95.825,1.59,2.386
"0889.02",2860,720,22.378,3.869,7.155,1.193,28,16.384,92.92,2.478,4.425
"0889.03",4635,1396,30.636,2.796,7.269,0.881,26.076,14.286,94.004,2.236,3.862
"0900.00",4500,1769,26.667,5.769,4.075,0.661,30.732,16.85,95.316,2.397,2.288
"0901.01",4815,1920,20.768,3.69,3.81,0.741,36.283,20.144,94.974,2.827,2.304
"0901.02",4395,2477,18.203,3.815,4.129,0.335,22.535,12.963,96.326,2.067,1.722
"0901.03",8255,442,14.234,4.271,4.501,0.304,15.947,10.516,95.288,1.958,2.754
"0902.00",5420,1607,18.358,5.388,3.967,0,26.477,18.96,95.133,2.212,2.655
"0903.01",6750,659,26.741,4.388,5.704,0.222,27.993,13.716,94.69,2.069,3.241
"0903.04",4085,2881,21.665,4.357,4.584,0,21.296,14.567,95.084,1.079,3.957
"0903.05",3735,3040,14.19,4.317,2.145,0.67,17.668,16.309,96.081,1.351,2.432
"0903.08",2750,3330,9.455,4.893,4.044,0.368,19.324,14.11,95.956,1.838,2.206
"0903.09",6065,436,8.162,3.841,3.792,0.165,21.915,15.746,96.007,1.331,2.745
"0903.10",6100,266,7.623,4.342,3.115,0.328,17.007,14.958,96.364,1.24,2.397
"0903.11",3895,1037,5.263,4.593,2.618,0.654,11.373,15.625,95.969,1.3,2.861
"0903.12",5990,3087,7.763,2.925,4.125,1.073,17.29,16.667,95.114,1.348,3.454
"0903.13",2610,66,15.326,4.18,2.495,0.384,14.433,8.537,96.525,2.51,1.158
"0903.14",1960,67,12.755,4.527,2.85,1.295,16.667,12.097,95.876,1.546,2.577
"0904.02",4600,268,22.826,4.059,3.229,0.323,29.397,17.343,95.921,1.778,2.301
"0904.03",4820,66,7.884,3.273,3.708,0,22.678,17.626,96.113,1.891,1.996
"0904.04",3475,2522,12.95,2.963,3.013,0.574,15.175,12.963,97.282,1.144,1.574
"0904.05",3745,2814,18.291,5.301,4.167,0.651,23.975,16.034,97.174,1.077,1.75
"0904.06",4215,3614,5.457,3.94,4.452,0.963,11.224,13.077,96.403,1.199,2.398
"0926.01",4875,156,24.923,4.299,3.897,0.205,31.019,17.014,95.8,2.5,1.7
"0926.02",4515,90,17.497,3.846,3.987,0.221,27.487,14.079,95.978,2.57,1.341
"0929.01",3735,1653,18.876,5.104,5.091,0.783,25.806,15.487,90.489,7.473,2.038
"0929.02",4680,1356,9.829,3.697,4.471,0.436,17.009,13.83,93.283,4.55,2.275
"0930.02",8880,537,20.158,4.496,3.998,0.676,30.179,16.418,95.387,2.221,2.392
"0930.03",2605,349,18.042,4.24,8.031,0.765,13.472,8.434,91.194,6.262,2.74
"0930.04",6540,302,22.554,4.035,5.441,0,25.285,10.687,94.341,2.904,2.681
"1000.00",5310,2230,14.407,5.169,2.354,0.188,26.328,19.677,97.822,0.758,1.42
"1001.00",3195,58,12.989,6.799,2.66,0.469,20.732,16.495,97.008,0.945,2.047
"1002.00",5765,79,16.565,4.777,2.86,0.347,25.105,13.105,97.644,1.134,1.222
"1003.00",6805,144,16.385,4.627,3.821,0.514,21.361,13.902,93.588,4.539,1.873
"1004.00",5345,455,12.348,5.41,2.622,0,27.5,19.231,93.916,4.848,1.331
"1005.00",7915,315,14.466,5.612,3.032,0.379,24.379,12.944,93.38,4.392,2.101
"1006.00",20605,173,10.992,7.488,2.257,0.315,23.438,18.076,96.725,1.393,1.906
"2001.00",7850,987,16.433,4.197,3.057,0.191,21.157,14.407,94.704,2.963,2.333
"2002.00",415,19,14.458,4.918,4.902,0,21.212,12,98.795,1.205,1.205
"2004.00",3015,2582,20.232,8.94,4.326,0.666,43.087,26.25,94.949,2.525,2.694
"2005.00",3605,3010,16.782,6.784,3.873,1.107,44.8,25.789,94.958,2.941,2.101
"2007.00",1095,2499,30.137,8.13,5.069,1.843,60.584,36.364,94.561,2.929,2.092
"2008.00",2405,4795,11.227,12.698,1.205,0,47.451,32.5,96.849,2.101,1.05
