"OID","SRIDU","SRNOM","RMRIDU","Region","KM2","Pop2016","Logement","A014","A1564","A65plus","AgeMoyen","AgeMedian","MaisonIndi","App5Plus","MaisJumule","MaisRangee","AppDuplex","App5Moins","AutreMais","LogMobile","Menage1","MenageMoy","TotFamille","FamMono","RevMedMen","FaibleRev","Immigrant","ImgRec","MinVisible","Proprio","Locataire","PieceLog","LogTailCon","LogTailInc","LogAv60","Log61_80","Log81_90","Log91_00","Log_01_05","Log06_10","Log11_16","ValMedLog","ValMoyLog","LoyerMed","LoyerMoy","HabKm2","Hab1000Km2"
"780","4620637.02","0637.02","462","Laval",1.45779,4214,2120,14.71,72.6,12.81,39.9,39.3,0.47,6.62,0.71,8.27,0,83.92,0,0,44.34,2,1120,26.34,49554,18.98,28.33,4.64,32.06,30.75,69.25,4.4,95.55,4.45,5.87,27.7,27,22.07,10.33,5.87,1.17,250439,275984,701,767,2890.67698365334,2.89067698365334
"781","4620827.04","0827.04","462","Montérégie",37.1268,9539,3312,25.33,66.39,8.39,35.2,38.1,74.02,0,3.63,4.08,4.08,12.99,1.21,0,17.35,2.9,2720,13.42,111296,4.92,12.33,1.53,12.59,83.71,16.29,7.2,98.19,1.81,12.05,6.48,6.93,24.1,27.11,17.32,6.02,384045,386572,820,846,256.930303715914,0.256930303715914
"782","4620831.03","0831.03","462","Montérégie",2.14729,4958,2053,15.83,64.72,19.35,42.1,42.6,55.47,0,5.11,0.73,3.65,33.33,0.49,1.22,24.88,2.4,1505,17.61,65387,9.24,5.79,0.74,3.58,64.62,35.38,5.9,97.3,2.7,9.56,46.08,17.65,6.13,2.7,2.45,15.44,250006,254482,848,845,2308.95687121907,2.30895687121907
"783","4620831.04","0831.04","462","Montérégie",1.78428,4741,1818,17.19,73.21,9.6,38.3,39.9,60.27,0,2.74,5.75,0.82,30.41,0,0,19.51,2.6,1440,20.14,81408,6.86,8.06,1.12,7.34,71.93,28.07,6.5,98.36,1.64,1.09,21.04,28.42,43.17,3.83,1.91,0.55,279066,283923,794,809,2657.0941780438,2.6570941780438
"784","4620831.05","0831.05","462","Montérégie",1.99059,4589,1664,15.8,74.62,9.48,39.5,43,86.53,0,0,0.3,0.9,12.28,0,0,13.21,2.8,1435,11.85,97963,3.72,9.71,1.55,8.5,91.89,8.11,7,96.41,3.59,1.19,5.36,67.86,14.88,0.6,0.6,9.52,279607,289669,858,826,2305.34665601656,2.30534665601656
"785","4620850.03","0850.03","462","Montérégie",1.54336,5029,2049,18.91,66.07,15.02,39.2,38.9,48.05,0,2.44,1.22,1.22,47.07,0,0,31.95,2.3,1355,23.99,69236,10.3,4.97,1.24,4.97,56.59,43.41,6.2,97.32,2.68,8.78,29.76,21.46,18.78,7.07,7.32,6.83,299787,327709,749,782,3258.47501555049,3.25847501555049
"786","4620850.04","0850.04","462","Montérégie",8.68268,4867,1653,24.85,68.89,6.26,33.7,35.3,80.66,0,4.83,3.93,0.6,9.97,0,0,12.99,2.9,1440,11.81,114016,2.78,6.46,0.91,4.04,94.56,5.44,7.6,98.79,1.21,2.42,18.73,8.46,23.56,14.8,8.76,23.26,299842,320529,1003,947,560.541215385112,0.560541215385111
"787","4620453.02","0453.02","462","Montréal",6.89669,4979,1755,15.66,63.76,20.58,44,45.5,33.24,13.64,37.78,8.81,0.28,6.25,0,0,26.21,2.7,1315,12.17,83029,7.45,40,3.01,45.81,79.37,20.63,6.1,95.43,4.57,2.02,21.61,28.53,23.05,6.92,10.09,7.78,348215,376132,1719,1974,721.940525092472,0.721940525092472
"788","4620317.02","0317.02","462","Montréal",1.33987,7929,3882,13.63,59.68,26.75,46.4,46.8,0.13,67.78,1.55,11.21,3.09,16.24,0,0,42.27,2,2175,13.1,76614,16.85,39.64,11.54,30.26,54.86,45.14,4.3,93.14,6.86,2.85,32.77,36.14,9.33,1.3,1.42,16.19,401407,481740,1079,1229,5917.73828804287,5.91773828804287
"789","4620410.03","0410.03","462","Montréal",2.27304,1905,628,21.52,65.09,13.39,37.3,36.7,27.78,7.14,24.6,0,4.76,35.71,0,0,17.46,3,515,26.21,63061,21,56.1,13.77,56.36,58.14,41.86,5.7,86.82,13.18,66.67,15.5,2.33,6.2,1.55,7.75,0,365337,367030,851,937,838.084679548094,0.838084679548094
"790","4620756.04","0756.04","462","Montérégie",2.87039,6273,2230,18.5,63.8,17.78,41.6,43.4,67.34,4.25,3.58,0.45,3.8,19.69,0.89,0,23.99,2.6,1680,17.26,81408,7.61,15.57,0.77,14.88,80.49,19.51,6.7,97.99,2.01,9.64,21.52,14.57,17.71,29.15,6.95,0.45,299692,319199,762,808,2185.41731262999,2.18541731262999
"791","4620756.05","0756.05","462","Montérégie",2.28411,6419,2744,15.03,61.76,23.21,44.6,45.2,33.52,5.1,2.19,4.74,1.82,52.64,0,0,36.07,2.1,1715,22.45,64146,9.72,14.07,2.05,15.17,65.21,34.79,5.4,95.62,4.38,3.63,29.4,17.79,13.43,10.34,7.08,18.33,250080,250028,821,855,2810.28496876245,2.81028496876245
"792","4620853.03","0853.03","462","Montérégie",3.17018,5683,2282,19.98,67.61,12.32,38.3,39,52.41,0.22,7.02,0.44,1.97,37.72,0.22,0,24.78,2.4,1685,18.4,85299,5.65,6.45,1.34,3.23,81.8,18.2,6.6,98.68,1.32,5.02,23.36,15.5,9.17,26.2,13.76,6.99,275610,285997,915,937,1792.64268905867,1.79264268905867
"793","4622201.00","2201.00","462","Montérégie",1.51877,4367,1643,18.67,68.16,13.17,38.8,40,70.64,0,7.03,3.06,0,18.35,0.92,0,18.24,2.6,1330,15.41,82080,5.07,5.25,0.23,4.57,83.28,16.72,7.1,97.52,2.48,2.78,26.23,34.88,21.6,9.57,3.7,1.23,250312,259458,782,852,2875.35308177012,2.87535308177012
"794","4622202.00","2202.00","462","Montérégie",3.82441,7397,2780,20.08,68.09,11.83,38.5,40.2,69.24,0,3.96,0,0.9,22.3,0.18,3.42,18.88,2.7,2235,15.44,88210,5.62,2.89,0.69,2.06,81.37,18.63,7.1,99.28,0.72,4.51,14.8,28.52,22.38,13.72,13.72,2.35,286152,300541,762,780,1934.15454932918,1.93415454932918
"795","4622203.00","2203.00","462","Montérégie",2.9154,3553,1313,20.25,66.53,13.08,39.4,41.3,98.1,0,0.76,0,0.38,0.38,0.38,0,16.35,2.7,1105,10.41,91571,4.22,4.23,0.27,1.23,95.47,4.53,7.6,96.98,3.02,11.36,30.3,9.47,10.98,13.64,15.91,8.33,323705,365638,795,852,1218.70069287233,1.21870069287233
"796","4622204.00","2204.00","462","Montérégie",4.82994,822,320,16.46,69.51,14.02,41.3,44.4,90.63,0,0,0,1.56,4.69,1.56,1.56,15.63,2.6,260,7.69,83285,4.27,5.73,0,3.82,90.48,9.52,7,100,0,10.61,33.33,13.64,9.09,15.15,7.58,10.61,299203,312850,0,750,170.188449545957,0.170188449545957
"797","4622205.00","2205.00","462","Montérégie",3.47767,4132,1645,19.11,63.97,16.93,40.5,40.9,50.3,0,5.18,4.88,0,36.28,0,3.35,26.44,2.4,1185,15.61,78496,6.92,3.72,0.39,3.59,73.05,26.95,6.6,99.1,0.9,1.2,14.97,9.28,26.95,16.17,25.45,5.99,299458,310339,818,807,1188.15183729336,1.18815183729336
"798","4620730.02","0730.02","462","Laurentides",3.21756,6724,2701,16.8,67.06,16.06,41.1,42.5,80.93,0,2.04,0.19,2.78,5,0.37,8.7,23.52,2.5,2030,15.76,69476,8.97,5.01,0.9,3.44,91.48,8.52,6.5,97.22,2.78,19.26,36.11,17.04,9.44,8.89,5.56,3.7,220033,234254,948,927,2089.78231952163,2.08978231952163
"799","4620732.01","0732.01","462","Laurentides",42.8323,6687,2527,19.66,68.24,12.03,38.4,39.3,75.69,0,1.98,0,4.74,16.6,0.99,0,19.76,2.6,2000,13.25,80421,6.83,2.63,0.38,1.65,81.78,18.22,6.8,98.42,1.58,9.47,18.34,24.26,13.81,9.07,12.43,12.62,296312,302700,876,861,156.120497848586,0.156120497848586
"800","4620735.01","0735.01","462","Laurentides",54.0645,6642,2800,17.91,69.07,12.94,38.7,39.2,49.64,0,5,0,24.82,20.36,0.18,0,29.64,2.4,1925,19.22,66420,9.93,3.94,0.61,3.71,61.68,38.32,5.8,96.61,3.39,9.48,12.88,11.81,25.94,20.04,11.45,8.41,250733,270745,770,803,122.853258607774,0.122853258607774
"801","4620750.01","0750.01","462","Montérégie",15.9426,5152,1911,19.03,67.86,13.11,40.2,43.5,92.41,0,0.26,3.93,0.79,1.57,0.26,0.79,18.54,2.7,1560,11.22,99755,5.93,15.16,1.07,10.11,95.28,4.72,7.5,98.69,1.31,17.54,14.92,19.11,22.77,11.52,9.42,4.71,348762,394334,1129,1110,323.159334111124,0.323159334111124
"802","4620686.01","0686.01","462","Lanaudière",26.9981,5795,2087,20.26,68.79,10.95,37.7,39.5,79.14,0,7.43,0.24,4.32,8.39,0.48,0,17.7,2.8,1700,12.94,86464,5.87,4.92,0.26,4.66,86.09,13.91,7.3,98.56,1.44,10.53,28.71,8.61,9.81,16.75,15.55,10.05,299642,339414,912,764,214.644734259077,0.214644734259077
"803","4620750.02","0750.02","462","Montérégie",13.1556,5502,1839,20.25,70.3,9.36,37.7,41.3,97.28,0,0,0.27,1.63,0.82,0,0,12.23,3,1610,11.18,108117,4.19,13.3,0.55,9.37,95.65,4.35,7.9,98.37,1.63,4.64,21.58,17.21,34.97,11.48,7.38,2.73,341866,368324,750,1017,418.224938429262,0.418224938429262
"804","4620625.01","0625.01","462","Laval",5.27454,6083,2133,17.02,67.85,15.13,40.7,42.1,61.41,0.24,16.24,2.35,4,15.29,0.47,0,18.27,2.8,1745,19.77,73907,7.44,21.61,1.41,28.6,84.3,15.7,6.7,93.74,6.26,18.75,30.56,26.62,17.59,2.08,3.24,1.16,249961,260026,773,831,1153.27592548355,1.15327592548355
"805","4620682.02","0682.02","462","Lanaudière",12.4518,2506,1077,13.94,64.14,21.71,44.9,47.9,54.42,0,4.19,0,12.09,28.84,0.47,0,33.49,2.2,695,19.42,61568,11.16,3.16,0.42,6.32,61.32,38.68,6,98.12,1.88,28.5,30.84,21.5,11.21,3.27,2.8,1.87,250567,291019,714,727,201.256043302976,0.201256043302976
"806","4620760.00","0760.00","462","Montérégie",80.7496,6777,2607,19.47,69.03,11.43,38.4,39.5,79.31,0,6.32,0.38,2.68,9.2,0.19,1.92,20.31,2.6,2040,14.71,81829,6,4.74,0.3,4.3,89.06,10.94,6.7,98.47,1.53,12.28,23.8,16.51,16.51,9.79,7.49,13.63,250683,281006,828,840,83.9261123274914,0.0839261123274914
"807","4620710.03","0710.03","462","Laurentides",3.18153,8771,3294,20.8,69.46,9.63,36.5,37.7,57.58,0,9.85,0,15.61,14.09,0.15,2.73,21.55,2.7,2555,18.59,80803,6.84,7.01,0.63,6.95,76.6,23.4,6.5,97.57,2.43,2.43,16.84,27.62,15.02,12.59,15.48,10.02,275703,276447,849,868,2756.84969181494,2.75684969181494
"808","4620730.01","0730.01","462","Laurentides",5.98188,11350,4169,26.58,64.39,9.12,34.2,35.4,67.27,0,5.76,3.72,0.72,22.42,0.12,0,19.66,2.7,3325,12.33,89317,4.33,8.45,1.95,8,91.73,8.27,6.5,98.68,1.32,1.68,6.47,4.56,8.75,19.66,39.45,19.42,264666,273911,930,880,1897.39680501782,1.89739680501782
"809","4620853.04","0853.04","462","Montérégie",13.4115,5684,1958,23.06,67.17,9.86,36.7,39.1,94.62,0,0.77,0.26,3.08,0.77,0.51,0,12.79,2.9,1700,9.41,105792,2.73,4.84,0.53,3.35,94.88,5.12,7.9,99.23,0.77,3.84,38.11,18.93,20.2,13.3,4.6,1.02,300662,328150,1046,1113,423.815382321142,0.423815382321142
"810","4620416.01","0416.01","462","Montréal",0.878823,4050,1414,15.8,59.75,24.44,44.7,47.2,35.69,0,9.54,36.75,1.06,16.61,0.35,0,16.96,2.9,1190,13.87,82261,10,51.07,3.39,47.68,84.62,15.38,6.7,94.41,5.59,26.76,53.17,17.25,2.82,0,0,0,400505,459753,775,845,4608.43651110633,4.60843651110633
"811","4620416.02","0416.02","462","Montréal",1.07112,3067,1073,22.31,61.07,16.61,38.9,39.2,4.67,0.47,13.08,1.87,2.34,77.57,0,0,22.43,2.9,850,20,61760,16.78,47.21,5.42,52.31,45.02,54.98,5.5,89.15,10.85,22.79,55.81,14.88,3.72,0.93,0.93,0.93,450023,482961,922,911,2863.3579804317,2.8633579804317
"812","4620415.03","0415.03","462","Montréal",0.263112,4193,1913,14.9,61.38,23.6,43.7,42.8,0,66.67,0,0,0,33.33,0,0,38.48,2.2,1140,17.54,48146,23.24,59.58,12.12,49.42,28.87,71.13,4,86.82,13.18,8.72,46.92,32.82,8.46,1.54,1.03,0.51,348524,383991,931,957,15936.1792696646,15.9361792696646
"813","4620415.04","0415.04","462","Montréal",0.49158,4748,1980,16.21,62.21,21.58,42.7,41.9,0,25.82,0,4.3,6.84,62.78,0,0.25,36.11,2.3,1240,22.18,48691,23.49,58.38,12.64,51.37,29.03,70.97,4.4,86.35,13.65,15.67,51,12.94,7.71,7.46,2.99,2.24,400561,477961,915,938,9658.65169453599,9.65865169453599
"814","4620708.01","0708.01","462","Laurentides",1.24498,4725,2281,15.87,70.79,13.54,39.1,38.2,19.47,0.22,9.19,0.88,4.81,65.43,0,0,35.75,2.1,1365,31.5,51381,18.2,8.5,0.88,7.62,39.82,60.18,5,96.87,3.13,8.02,36.3,26.28,15.14,10.69,2.67,0.89,229989,238446,773,808,3795.24169062957,3.79524169062957
"815","4622101.00","2101.00","462","Montérégie",8.09888,1033,390,20.29,65.7,13.53,38.9,40.1,79.22,0,1.3,0,1.3,5.19,1.3,11.69,20.51,2.6,305,14.75,72192,6.31,0.94,0,0.94,89.61,10.39,6.8,96.1,3.9,21.05,35.53,13.16,19.74,7.89,0,2.63,279075,292119,766,858,127.548500533407,0.127548500533407
"816","4622402.00","2402.00","462","Montérégie",2.87671,3484,1162,26.97,63.13,9.61,34.4,35.1,73.28,0,4.31,4.74,2.59,14.22,0.86,0,15.52,2.9,980,11.73,97024,4.25,3.29,0.29,1.72,85.04,14.96,7.4,97.44,2.56,5.98,5.98,7.26,11.11,14.53,30.77,24.36,300742,310837,1025,1124,1211.1057423237,1.2111057423237
"817","4620780.00","0780.00","462","Laurentides",1.53332,3516,1627,13.35,64.77,21.73,44.3,47.1,38.53,5.81,3.67,0.92,22.02,28.13,0.92,0,36.2,2.1,975,23.59,48320,22.84,4.73,0.86,3.58,52.16,47.84,5.9,96.6,3.4,40.87,41.8,7.12,4.33,1.24,0,4.64,239719,250985,656,686,2293.06341794276,2.29306341794276
"818","4620735.02","0735.02","462","Laurentides",9.19328,8625,3440,20.42,69.66,9.98,36.4,36.6,47.53,0,4.07,0.58,21.95,25.73,0.15,0,25.29,2.5,2530,20.95,73096,8.95,2.73,0.23,3.43,63.03,36.97,6.2,97.38,2.62,4.08,19.65,16.01,18.2,6.84,15.87,19.36,296096,295891,763,800,938.185283163354,0.938185283163354
"819","4620417.01","0417.01","462","Montréal",0.688207,4804,1779,20.81,65.45,13.63,38,37.3,23.94,31.83,0.56,0,5.92,37.75,0,0,27.81,2.7,1265,17.79,54816,22.3,53.03,8.04,69.52,63.59,36.41,4.7,84.87,15.13,40.06,18.77,12.61,6.16,0.84,12.32,9.24,267414,304925,758,760,6980.45791455187,6.98045791455187
"820","4620417.02","0417.02","462","Montréal",0.372101,2857,873,24.87,69.35,5.95,32.1,30.7,0,4.6,5.17,0,10.34,79.89,0,0,16,3.3,700,27.14,46413,35.49,62.92,24.25,81.72,13.22,86.78,4.5,69.71,30.29,39.88,35.26,9.83,12.14,1.16,1.73,0,350109,377017,836,853,7678.02290238403,7.67802290238403
"821","4620690.00","0690.00","462","Lanaudière",67.6701,7383,2905,19.65,66.8,13.48,38.5,38.5,76.38,0,4.48,1.38,4.14,10.34,0.34,2.93,21.86,2.5,2240,15.18,69589,10.38,1.97,0.2,1.22,79.17,20.83,6.4,98.28,1.72,7.07,17.93,14.14,20.17,12.59,17.93,10.17,229666,258652,821,796,109.102838624444,0.109102838624444
"822","4620691.00","0691.00","462","Lanaudière",2.8376,6274,2446,18.41,67.65,13.94,39.4,39.9,78.57,0,1.63,1.84,3.27,13.06,1.02,0.61,22.7,2.5,1860,16.13,67305,11.76,2.17,0.16,1.61,79.35,20.65,6.4,97.55,2.45,10.66,18.44,28.89,27.66,5.53,5.94,2.87,200406,218356,720,795,2211.02340005639,2.21102340005639
"823","4622007.00","2007.00","462","Montérégie",0.452302,1349,686,8.15,67.78,24.44,47.7,47.8,3.65,0,3.65,0,8.76,56.2,27.74,0,60.58,1.6,220,36.36,31552,39.27,5.07,1.84,3.24,17.78,82.22,4.1,97.04,2.96,75.18,11.68,2.19,4.38,1.46,1.46,3.65,250107,257951,610,631,2982.52052831957,2.98252052831957
"824","4622008.00","2008.00","462","Montérégie",0.517769,2430,1273,15.26,73.61,11.13,37.8,34.8,8.63,0,6.67,1.57,18.04,62.75,2.35,0,47.45,1.9,600,32.5,37163,34.3,1.2,0,1.41,21.24,78.76,4.6,97.29,2.71,64.48,16.22,2.32,4.63,4.25,3.47,4.63,199955,210102,694,732,4693.2126102567,4.6932126102567
"825","4622009.00","2009.00","462","Montérégie",1.94418,5350,2478,16.26,70.56,13.18,39.6,39.4,40.2,0,4.04,4.85,2.42,46.46,0.61,1.41,34.27,2.1,1555,19.61,61952,10.41,2.76,0.38,2.77,57.49,42.51,5.5,97.77,2.23,5.27,26.17,14.81,21.7,12.37,8.92,10.75,224869,229583,716,756,2751.80281661163,2.75180281661163
"826","4620692.00","0692.00","462","Lanaudière",66.8288,9286,3465,19.76,67.31,12.87,38.2,38.8,70.22,0,5.04,0.43,5.32,16.26,0.58,2.16,19.19,2.7,2750,15.64,82800,7,2.77,0.38,3.69,80.95,19.05,6.7,97.69,2.31,7.07,21.36,16.59,12.41,11.98,22.51,8.08,250748,285772,867,827,138.95206856924,0.13895206856924
"827","4620580.03","0580.03","462","Montréal",1.11175,3879,1563,14.58,70.58,14.97,42.9,46.8,45.83,0,5.45,11.86,5.77,30.77,0.32,0,23.08,2.4,1185,16.88,79388,7.27,7.4,0.53,10.7,72.35,27.65,6.1,95.82,4.18,14.47,22.83,50.8,8.68,0.64,0.96,1.61,299993,317944,716,765,3489.09377108163,3.48909377108163
"828","4620513.01","0513.01","462","Montréal",1.11839,5229,1808,17.3,67.4,15.2,39.7,40.1,37.57,0,17.4,11.33,0.55,32.87,0.28,0,22.44,2.9,1440,19.1,63598,14,47.84,6.52,57.24,61.6,38.4,5.9,89.53,10.47,10.96,50.14,18.08,8.49,7.67,3.01,1.64,331068,349169,729,841,4675.47098954747,4.67547098954747
"829","4620515.02","0515.02","462","Montréal",0.960683,4551,1511,20.33,71.54,8.13,36.5,38.3,49.34,0,1.97,15.46,0.33,32.57,0.33,0,17.88,3,1250,18.8,84736,9.8,37.51,6.32,42.66,68.71,31.29,6.4,93.25,6.75,0.65,8.41,36.89,32.36,17.48,4.21,0,400515,401711,850,930,4737.25464070875,4.73725464070875
"830","4620515.03","0515.03","462","Montréal",0.99623,3328,1170,16.34,71.06,12.59,40.5,43.1,78.21,0,1.71,7.69,0.85,11.54,0,0,18.38,2.8,970,15.46,82091,10.51,38.95,6.47,37.59,85.47,14.53,6.7,96.17,3.83,14.66,28.88,47.84,8.62,0,0,0,324779,326937,782,868,3340.59403952902,3.34059403952902
"831","4620515.04","0515.04","462","Montréal",0.860304,3655,1293,17.24,70.04,12.72,39.4,40.7,58.98,0,7.42,8.98,1.56,23.05,0,0,18.99,2.8,1040,19.23,74848,11.8,38.22,10.14,39.18,71.71,28.29,6.4,94.19,5.81,7.03,38.67,36.33,12.89,1.95,2.34,0.78,348323,347034,822,911,4248.49820528557,4.24849820528557
"832","4620520.03","0520.03","462","Montréal",1.52967,3655,1285,16.83,66.48,16.83,40.7,40.6,48.05,0,0.39,21.48,0.39,29.69,0,0,21.01,2.8,1045,19.62,65690,13.95,49.72,5.12,59.06,66.14,33.86,6.4,89.8,10.2,7.57,55.38,33.86,3.19,0,0,0,379380,368731,724,813,2389.40425059,2.38940425059
"833","4620693.00","0693.00","462","Lanaudière",2.31669,5248,2435,12.86,61.24,25.9,46.7,50.4,35.32,0,3.49,0,9.03,50.31,1.85,0,39.01,2,1430,22.73,48832,17.78,1.31,0.2,1.01,44.47,55.53,5.3,96.1,3.9,26.28,34.7,21.15,5.13,3.08,5.13,4.52,230110,243603,733,751,2265.30092502665,2.26530092502665
"834","4622015.00","2015.00","462","Montérégie",1.31089,4637,2925,8.52,59.87,31.72,48.9,53,7.65,0.17,1.36,0,1.02,89.63,0.17,0,58.29,1.6,1130,25.66,32949,32.58,5.69,1.16,5.16,13.07,86.93,4.2,98.64,1.36,6.61,56.61,24.92,7.63,1.19,1.19,1.86,249979,273682,655,686,3537.29145847478,3.53729145847478
"835","4620682.04","0682.04","462","Lanaudière",1.18622,3402,1378,15.29,68.09,16.62,42.3,44.7,73.45,0,2.18,0,6.91,17.45,0,0,23.19,2.5,1035,14.98,71765,8.38,6.32,0.29,9.26,75.9,24.1,6.4,98.92,1.08,11.91,29.96,46.21,5.42,4.69,1.81,0,249877,243091,827,976,2867.93343561903,2.86793343561903
