"OID","SRIDU","SRNOM","RMRIDU","Region","KM2","Pop2016","Logement","A014","A1564","A65plus","AgeMoyen","AgeMedian","MaisonIndi","App5Plus","MaisJumule","MaisRangee","AppDuplex","App5Moins","AutreMais","LogMobile","Menage1","MenageMoy","TotFamille","FamMono","RevMedMen","FaibleRev","Immigrant","ImgRec","MinVisible","Proprio","Locataire","PieceLog","LogTailCon","LogTailInc","LogAv60","Log61_80","Log81_90","Log91_00","Log_01_05","Log06_10","Log11_16","ValMedLog","ValMoyLog","LoyerMed","LoyerMoy","HabKm2","Hab1000Km2"
"1","4620725.07","0725.07","462","Laurentides",1.4928,6352,2207,21.97,71.57,6.54,35.3,37.3,71.66,0,18.59,3.17,0.68,5.9,0,0,13.57,2.9,1900,16.58,94883,3.94,9.97,1.03,12.03,90.97,9.03,7.1,98.42,1.58,0.45,14.9,26.41,31.15,21.44,2.71,2.93,259193,260038,882,839,4255.0911039657,4.2550911039657
"2","4620652.04","0652.04","462","Laval",1.30898,4266,1531,17.47,66.59,15.94,40.7,42.7,66.78,3.91,19.22,1.95,4.56,3.26,0.33,0,17.97,2.8,1265,14.62,85632,7.06,25.23,2.21,20.67,85.39,14.61,6.7,96.42,3.58,14.05,43.79,28.43,8.5,0.98,3.59,0.65,300496,325614,737,766,3259.02611193448,3.25902611193448
"3","4620098.00","0098.00","462","Montréal",1.06913,5332,2245,17.62,64.76,17.62,41.5,43.3,18.97,0.45,20.54,0.45,22.1,37.28,0.22,0,32.96,2.4,1460,21.92,64640,15.82,38.01,4.23,28.32,59.91,40.09,5.6,92.43,7.57,68.44,17.78,4.89,1.78,3.33,2.89,0.89,460322,486064,762,830,4987.23260969199,4.98723260969199
"4","4620099.00","0099.00","462","Montréal",0.71269,5627,2622,17.96,62.13,20,41.9,42.3,9.14,27.05,18.67,1.52,4.76,38.86,0,0,42.1,2.1,1425,22.11,52281,21.6,37.41,4.26,33.07,43.07,56.93,4.9,94.5,5.5,49.9,17.33,5.71,8.57,6.29,11.81,0.38,501352,529746,786,776,7895.43840940661,7.89543840940661
"5","4620102.00","0102.00","462","Montréal",0.607842,4213,1983,16.27,68.17,15.8,40.4,40.7,7.58,8.84,9.34,0.76,35.35,37.88,0.25,0,39.04,2.1,1125,20.44,71131,15.44,28.78,6.9,18.91,43.22,56.78,5.3,94.71,5.29,71.5,17,5.5,3,0.5,0.5,2,501548,561466,943,1001,6931.07748395142,6.93107748395142
"6","4620103.00","0103.00","462","Montréal",0.343296,2413,1101,15.56,68.67,15.77,40.9,41.2,4.52,0,33.03,11.76,0.45,49.77,0.45,0,36.82,2.2,630,11.9,82464,11.59,22.15,2.28,13.25,55.91,44.09,5.9,96.35,3.65,77.63,9.59,3.65,5.02,0,1.37,2.74,717957,710680,770,807,7028.91964951529,7.02891964951529
"7","4620104.00","0104.00","462","Montréal",0.391482,2821,1129,18.44,64.54,17.2,40.7,42.6,8.41,8.85,36.73,9.73,15.04,21.24,0,0,29.2,2.5,740,12.16,113920,11.25,25.26,3.11,13.84,67.95,32.05,6.9,97.86,2.14,84.19,8.55,5.56,0,0,0,1.71,800801,787145,873,896,7205.95072059507,7.20595072059507
"8","4620105.00","0105.00","462","Montréal",0.312589,3342,1550,17.96,66.32,15.87,40.2,40.1,0.32,7.07,0.96,0.32,60.77,29.9,0,0.64,36.13,2.2,905,21.55,78592,13.06,29.12,4.93,18.18,50,50,5.6,96.36,3.64,82.72,11.3,1,4.32,0.66,0,0,499900,524231,1019,1176,10691.3551020669,10.6913551020669
"9","4620106.00","0106.00","462","Montréal",0.24476,2114,912,13.71,64.07,22.46,44.1,41,1.66,32.6,3.87,0.55,36.46,24.86,0,0,40.44,2.1,485,19.59,61269,18.72,31.42,7.65,26.03,41.9,58.1,5.2,93.33,6.67,63.48,28.65,3.37,2.81,0,1.69,0,501583,591794,878,1005,8637.03219480307,8.63703219480307
"10","4620107.00","0107.00","462","Montréal",0.159986,1544,801,11.97,77.99,10.03,37,33.4,0.63,32.08,0.63,1.26,3.14,61.64,0.63,0,51.25,1.9,320,25,43840,27.18,42.86,13.04,39.75,18.67,81.33,4,92.17,7.83,58.54,25,9.15,4.88,0,2.44,0,400461,466203,812,924,9650.84444888928,9.65084444888928
"11","4620108.00","0108.00","462","Montréal",0.581228,4107,1629,13.76,62.61,23.75,44.8,44.3,2.74,16.16,26.83,9.15,7.93,37.2,0,0,32.82,2.3,980,17.86,81280,13.06,27.07,4.49,17.66,48.17,51.83,5.9,95.73,4.27,69.42,21.1,2.75,1.53,2.14,3.06,0,851225,828622,1024,1214,7066.07389871101,7.06607389871101
"12","4620109.00","0109.00","462","Montréal",0.171881,2120,1055,12.5,74.53,13.44,38.6,35.7,3.83,7.66,0.48,5.74,24.88,57.42,0,0,41.71,2,510,20.59,51872,23.88,37.86,6.67,38.24,21.3,78.7,4.4,93.02,6.98,71.76,21.3,2.78,3.24,0.93,0,0,449384,626416,970,1012,12334.1148818078,12.3341148818078
"13","4620688.03","0688.03","462","Laurentides",2.08689,5221,2041,19.33,65.84,14.74,39.1,38.7,57.6,0,9.8,0.25,5.64,26.23,0.49,0,22.79,2.5,1545,16.5,64498,10.16,1.7,0.28,1.42,68.97,31.03,6.2,97.61,2.39,4.55,34.93,29.9,10.29,3.83,8.37,8.13,200358,208636,734,757,2501.80891182573,2.50180891182573
"14","4620688.04","0688.04","462","Laurentides",1.8456,5590,2047,21.02,69.77,9.3,36.2,36.5,73.11,0,3.18,0,4.16,19.32,0.24,0,18.54,2.7,1650,17.88,74214,10.29,2.86,0.45,2.95,77.09,22.91,6.8,96.54,3.46,7.65,24.69,19.01,27.16,9.63,8.89,2.96,224383,234674,774,800,3028.82531426095,3.02882531426095
"15","4620001.00","0001.00","462","Montréal",0.475414,2638,1328,12.52,71.73,15.94,42.5,43.9,1.87,0.37,1.87,1.12,34.08,59.55,1.12,0,44.53,1.9,680,27.94,53333,18.91,15.03,1.67,15.4,47.76,52.24,4.8,95.88,4.12,40.3,28.73,7.46,7.46,4.1,7.09,4.85,297350,295119,731,778,5548.84795146967,5.54884795146967
"16","4620002.00","0002.00","462","Montréal",0.400667,3516,1762,15.65,67.99,16.36,41.1,41,4.55,8.81,1.14,4.83,21.88,57.67,1.14,0,45.04,2,905,29.28,48311,20.37,13.04,2.1,16.77,40.68,59.32,4.4,96.33,3.67,37.57,21.47,9.04,3.67,4.8,9.6,13.84,259273,278573,727,757,8775.36707540177,8.77536707540177
"17","4620003.00","0003.00","462","Montréal",0.761767,6373,2937,15.53,67.76,16.71,42,42.5,7.65,0.51,3.4,3.23,27.38,57.31,0.51,0,37.99,2.1,1710,26.32,50459,18.35,22.9,4.4,22.08,39.8,60.2,4.9,94.9,5.1,34.24,47.02,9.54,5.62,0.85,0.68,2.04,323884,333413,711,745,8366.07519097047,8.36607519097047
"18","4620004.00","0004.00","462","Montréal",0.461432,3176,1603,12.13,69.61,18.27,43.8,44.6,7.19,0,1.25,7.81,21.88,56.25,5.63,0,43.93,1.9,820,25.61,49126,18.93,12.74,3.18,15.45,37.07,62.93,4.7,95.31,4.69,55.63,26.88,5,5.63,4.06,1.25,1.56,330575,344336,692,727,6882.9209937759,6.8829209937759
"19","4620005.00","0005.00","462","Montréal",0.581226,3060,1593,13.4,69.44,17.32,43.1,44.4,2.81,0,1.88,9.06,26.25,58.13,1.88,0,46.39,1.9,795,24.53,47232,19.73,13.04,4.13,13.67,36.19,63.81,4.5,95.87,4.13,54.92,26.35,8.25,5.71,1.9,1.59,1.27,324554,332314,702,720,5264.73351157725,5.26473351157725
"20","4620006.00","0006.00","462","Montréal",0.667223,4467,1993,17.9,69.13,12.86,38.2,37,3.26,0,1.5,5.01,17.79,72.43,0,0,34.59,2.2,1190,32.77,46259,26.87,19.63,4.56,25.93,26.72,73.28,4.8,93.4,6.6,34.69,50.51,7.4,5.36,1.28,0,0.77,349548,356094,713,763,6694.9130950222,6.6949130950222
"21","4620007.00","0007.00","462","Montréal",1.12265,5682,2809,13.1,69.31,17.5,43.1,44.6,24.29,3.75,1.96,0.54,15.89,52.5,1.07,0,41.46,2,1515,24.09,52949,16.98,20.8,5.31,21.4,51.52,48.48,5,93.78,6.22,50.8,24.87,15.99,3.91,1.24,2.49,0.71,300514,308361,682,725,5061.23903264597,5.06123903264597
"22","4620019.00","0019.00","462","Montréal",0.342479,2340,1296,11.75,72.44,15.81,40,36.5,0.77,10.38,0,0.77,5.77,82.31,0,0,52.12,1.8,500,24,38949,33.04,12.32,3.29,7.8,24.07,75.93,4.2,94.8,5.2,54.65,15.61,15.99,6.32,4.46,1.49,1.49,300701,358209,692,717,6832.53571751845,6.83253571751845
"23","4620021.00","0021.00","462","Montréal",0.456314,2891,1433,13.32,78.55,8.13,36.3,33.4,0,5.96,0,0,0.7,93.33,0,0,42.16,2,610,32.79,38677,35.71,11.17,3.66,10.99,13.7,86.3,4.3,92.47,7.53,60.69,24.14,9.31,3.45,1.03,0.69,0.69,268605,295348,720,743,6335.54964344728,6.33554964344728
"24","4620022.00","0022.00","462","Montréal",0.176086,1550,798,9.68,81.29,8.71,37.9,34.4,0,0.63,0,0,7.5,91.88,0,0,45.91,1.9,330,27.27,44992,26.35,12.64,1.49,12.27,25,75,4.4,95.36,4.64,59.21,17.11,11.84,4.61,2.63,3.29,1.32,279505,292191,764,830,8802.51695194394,8.80251695194394
"25","4620023.00","0023.00","462","Montréal",0.36903,1282,686,11.33,80.47,8.59,37.4,35.1,0,0,0,0.73,7.3,91.24,0.73,0,47.45,1.9,280,23.21,38912,31.23,16.42,7.3,19.71,20.59,79.41,4.2,93.38,6.62,52.21,16.91,11.03,6.62,5.88,5.88,1.47,279344,347213,753,751,3473.9723057746,3.4739723057746
"26","4620024.00","0024.00","462","Montréal",0.284363,2647,1446,9.62,79.62,10.57,38.3,34.8,0.34,4.83,0,1.03,4.14,89.66,0,0,48.1,1.8,575,27.83,40550,29.14,17.48,5.26,16.35,18.43,81.57,4.2,92.18,7.82,50,19.73,15.31,3.74,6.12,3.74,1.36,268986,295190,703,746,9308.52466741454,9.30852466741454
"27","4620025.00","0025.00","462","Montréal",0.229951,3016,1511,11.11,77.11,11.77,39.5,35.9,0.66,0.33,0,0.33,2.98,95.7,0,0,45.03,1.9,660,23.48,45513,27.29,16.33,5.63,14.52,23.02,76.98,4.3,96.22,3.78,58.22,14.04,7.19,4.11,5.14,10.62,0.68,250230,297604,758,784,13115.8377219495,13.1158377219495
"28","4620026.00","0026.00","462","Montréal",0.180002,2581,1498,10.27,79.46,10.47,38.3,35,0.33,4.32,0,0.33,3.65,91.03,0.33,0,52.17,1.7,575,23.48,44608,27.24,12.1,2.42,10.48,30.56,69.44,3.9,97.01,2.99,44.85,15.95,3.65,5.32,3.32,17.28,9.63,245554,271247,693,727,14338.7295696714,14.3387295696714
"29","4620027.00","0027.00","462","Montréal",0.0977982,1650,923,10,81.52,8.79,36.8,33.2,0.54,0,0,0.54,11.29,87.1,0.54,0,50,1.8,360,25,39979,26.07,10.47,2.91,12.83,19.79,80.21,4.1,95.19,4.81,67.91,16.04,6.95,4.81,1.6,1.07,1.6,300367,348980,710,771,16871.476162138,16.871476162138
"30","4620028.00","0028.00","462","Montréal",0.162415,2077,1152,10.82,81.97,7.21,35.9,32.4,0.43,0,0,1.73,0.87,96.54,0.43,0,49.78,1.8,430,19.77,42560,26.28,10.96,3.5,11.42,20.25,79.75,4.4,96.62,3.38,65.82,17.72,5.91,2.11,0.84,0,7.59,299759,332780,775,831,12788.2276883293,12.7882276883293
"31","4620029.00","0029.00","462","Montréal",0.413453,3679,2003,9.24,78.53,12.09,39,34.9,0.25,0.5,0.25,0,7.98,90.27,0.5,0.25,51.62,1.7,730,23.29,41280,29.02,14.72,4.04,15.87,20.71,79.29,4.1,96.46,3.54,58.19,22.67,8.06,6.3,2.27,1.76,0.76,279006,321764,702,729,8898.23027042977,8.89823027042977
"32","4620030.00","0030.00","462","Montréal",0.31073,3131,1798,10.06,79.87,10.06,37.9,34.7,0,0,0,0.28,3.9,95.26,0.56,0,53.89,1.7,640,18.75,39083,30.62,24.58,8.53,24.25,21.43,78.57,3.7,95.32,4.68,43.01,31.51,9.59,5.48,3.01,2.19,5.21,289512,352570,695,730,10076.2720046342,10.0762720046342
"33","4620031.00","0031.00","462","Montréal",0.264706,2659,1516,8.83,80.64,10.53,39.3,35.7,0,3.63,0,5.94,12.54,77.23,0.66,0,56.44,1.7,520,18.27,40448,25.89,23.62,7.24,25.33,25.74,74.26,4,95.71,4.29,56.25,25,7.57,4.61,1.32,0.66,4.61,400110,405429,675,749,10045.1066466193,10.0451066466193
"34","4620032.00","0032.00","462","Montréal",0.127019,1609,967,9.35,84.74,6.23,36.5,33.8,0,5.15,0,1.55,12.89,79.38,1.03,0,56.7,1.7,315,15.87,39712,27.73,20.98,7.54,19.41,20.42,79.58,3.8,94.74,5.26,48.15,27.51,6.88,7.94,3.17,0,6.35,321372,342869,655,694,12667.3962163141,12.6673962163141
"35","4620033.00","0033.00","462","Montréal",0.158008,1735,968,8.65,80.69,10.66,38.5,34.9,0,0.52,0.52,2.58,16.49,78.35,1.55,0,48.45,1.8,375,20,38400,31.41,19.13,4.93,23.41,22.16,77.84,4.2,94.3,5.7,59.28,20.62,9.28,3.09,2.06,4.12,1.55,311141,337047,704,720,10980.4566857374,10.9804566857374
"36","4620887.05","0887.05","462","Montérégie",2.0451,4697,1879,16.61,62.73,20.66,43.1,46,66.13,0,19.47,3.47,0,10.93,0,0,19.68,2.5,1490,14.09,97408,4.47,9.48,1.85,6.65,87.83,12.17,7.5,98.41,1.59,2.12,79.63,14.29,3.97,0,0,0,348471,362555,812,893,2296.70920737372,2.29670920737372
"37","4620110.00","0110.00","462","Montréal",0.253053,3836,1949,14.73,76.01,9.13,36.5,34.4,0.26,31.2,0,0,10.23,58.31,0,0,45.38,2,900,22.78,44048,27.12,46.49,16.6,44.32,11.43,88.57,3.9,84.2,15.8,58.76,30.15,5.41,3.87,0.52,0.52,0.77,434630,465718,817,861,15158.8797603664,15.1588797603664
"38","4620111.00","0111.00","462","Montréal",0.772553,6542,2835,16.28,66.9,16.82,40.7,40.1,2.65,17.99,2.12,0,47.09,29.28,0.88,0,37.39,2.3,1650,22.73,49350,21.91,48.84,6.1,45.14,36.04,63.96,4.6,87.3,12.7,61.95,24.78,6.19,3.72,0.53,0.71,2.12,481221,495527,866,887,8468.02743630534,8.46802743630534
"39","4620008.00","0008.00","462","Montréal",0.641251,3016,1465,15.26,70.32,14.59,41.4,42.1,10.24,2.05,12.97,0.68,25.26,48.12,0.68,0,41.64,2.1,815,20.86,59213,11.77,12.54,2.38,14.76,52.51,47.49,5,95.64,4.36,56.52,21.07,11.71,3.68,1,0,6.02,300922,307872,701,743,4703.3065055649,4.7033065055649
"40","4620009.00","0009.00","462","Montréal",4.39613,3470,1640,13.96,73.67,12.37,40.1,39.4,12.46,0.3,1.22,1.82,27.66,55.93,0.61,0,38.41,2.1,895,24.58,51738,17.13,16.74,3.15,21.03,41.49,58.51,4.8,94.61,5.39,58.56,28.83,4.5,2.1,0.9,4.2,0.9,299474,316504,735,759,789.330615791617,0.789330615791617
"41","4620010.00","0010.00","462","Montréal",0.948423,1479,701,15.59,71.53,12.88,40.3,40.2,4.29,0.71,0,4.29,34.29,55.71,0.71,0,41.13,2,365,26.03,50880,18.88,19.32,8.14,27.12,36.69,63.31,4.7,93.53,6.47,59.71,20.86,5.76,6.47,1.44,5.76,0,299285,294716,758,760,1559.4307603253,1.5594307603253
"42","4620011.00","0011.00","462","Montréal",1.28594,6622,2826,13.67,60.95,25.38,46.2,46.7,10.46,8.33,2.13,8.33,13.48,57.27,0,0,43.01,2,1535,19.22,55922,17.73,25.87,5.45,25.06,50.44,49.56,4.8,93.29,6.71,36.11,21.59,4.96,4.96,8.32,22.83,1.24,348676,343479,703,730,5149.54041401621,5.14954041401621
"43","4620013.00","0013.00","462","Montréal",1.11627,5166,2704,10.25,63.15,26.4,47.9,47.4,3.9,10.39,1.11,4.45,25.79,53.8,0.56,0,51.39,1.8,1160,18.53,51572,16.58,16.84,3.7,16.74,38.22,61.78,4.3,96.38,3.62,50.45,19.42,6.53,4.54,1.81,12.52,4.72,324680,339577,731,967,4627.91260178989,4.62791260178989
"44","4620015.00","0015.00","462","Montréal",0.388134,4103,2206,14.37,76.86,8.77,37,35.1,0.23,4.54,0.23,0,6.12,88.89,0,0,49.66,1.8,935,26.2,46438,26.56,14.01,3.86,15.81,30.09,69.91,4.1,95.46,4.54,54.09,17.27,5.68,3.64,6.82,8.86,3.64,268622,294539,701,745,10571.0914271875,10.5710914271875
"45","4620016.00","0016.00","462","Montréal",0.534564,2539,1174,12.43,71.99,15.58,41.9,38.8,0.42,0.42,0,0,3.8,94.94,0.42,0,48.09,1.9,490,25.51,41280,30.32,10.45,2.5,11.79,24.45,75.55,4.4,94.78,5.22,73.48,15.22,4.78,0.87,0.87,3.91,0.87,270183,319213,742,783,4749.66514767175,4.74966514767175
"46","4620017.00","0017.00","462","Montréal",0.231041,2141,1187,13.55,76.17,10.28,38.1,36.4,0,0,0,0,2.95,97.05,0,0,52.1,1.8,485,26.8,46112,23.78,11.19,3.73,9.95,30.87,69.13,4.3,96.54,3.46,55.17,14.22,8.62,2.59,8.62,7.33,3.45,267535,297618,766,771,9266.75351993802,9.26675351993802
"47","4620018.00","0018.00","462","Montréal",0.378721,2004,1136,11.97,78.8,8.98,37.7,35.4,0,3.08,0.44,0,3.08,92.51,0.88,0,54.39,1.7,415,24.1,41259,26.53,11.25,3.58,12.02,19.64,80.36,4.1,95.98,4.02,70.72,19.82,3.6,2.25,1.8,0,1.8,299932,346310,685,726,5291.49426622765,5.29149426622765
"48","4620887.06","0887.06","462","Montérégie",1.83504,4515,1684,18.16,70.32,11.52,39.7,43.7,64.58,0,7.74,10.42,0,17.26,0,0,17.21,2.7,1385,14.8,128939,1.77,9.25,0.97,10.54,98.83,1.17,7.7,98.83,1.17,0,0,13.49,65.98,17.89,2.05,0.59,400170,419223,0,0,2460.43682971488,2.46043682971488
"49","4620113.00","0113.00","462","Montréal",0.510387,5099,2143,17.06,71.27,11.57,36.8,35.1,0.23,0.7,0.47,0,30.3,68.3,0,0,32.87,2.4,1255,25.1,49728,24.9,53.11,14.88,53.31,23.17,76.83,4.4,80.14,19.86,61.65,25.65,6.12,2.35,1.41,0.71,2.12,500587,553987,812,888,9990.45822091864,9.99045822091863
"50","4620114.00","0114.00","462","Montréal",0.291829,1989,874,14.82,68.59,16.58,39.5,36.1,16,20.57,12.57,0,4.57,45.71,0.57,0,31.03,2.3,515,18.45,62080,23.87,43.54,8.61,36.46,36.78,63.22,5.4,89.66,10.34,67.05,23.3,5.68,2.84,0,0,1.14,849708,903971,951,1079,6815.6351836178,6.8156351836178
"51","4620116.00","0116.00","462","Montréal",0.660912,6649,2981,14.14,69.17,16.69,39.1,34.4,1,7.86,1.17,1.17,13.88,74.92,0,0,41.78,2.1,1395,21.51,39360,33.84,51.6,12.8,57.84,13.11,86.89,3.9,84.71,15.29,47.9,34.29,8.57,5.55,1.34,2.35,0,501413,595826,781,819,10060.3408623236,10.0603408623236
"52","4620117.00","0117.00","462","Montréal",0.278684,4359,1506,15.96,69,15.15,40,38.1,0,17.94,0,0,1.99,80.07,0,0,24.92,2.7,980,21.43,45216,27.51,64.48,17.88,84.76,10.47,89.53,3.7,69.59,30.41,42.52,37.07,9.52,7.14,1.36,0,2.38,491163,446305,741,792,15641.371589327,15.641371589327
"53","4620118.00","0118.00","462","Montréal",0.31302,4411,1575,19.27,70.63,10.09,36.1,35.1,0,0,1.58,0.32,6.01,91.46,0.32,0.32,25.08,2.8,1030,23.79,47744,26.42,56.79,13.92,71.08,20.87,79.13,4.4,72.98,27.02,52.5,29.69,9.69,4.69,2.81,0,0.63,501398,549561,758,808,14091.7513257939,14.0917513257939
"54","4620119.00","0119.00","462","Montréal",0.592825,6337,2393,20.05,70.72,9.31,36,36,0,4.8,0.63,0,1.46,93.11,0,0,28.6,2.6,1565,26.84,39696,33.65,63.67,14.93,86.89,11.69,88.31,3.7,66.6,33.4,45.7,33.33,8.39,7.34,2.52,1.05,1.68,449123,452904,668,693,10689.4952135959,10.6894952135959
"55","4620121.00","0121.00","462","Montréal",0.397062,1769,689,19.77,61.58,18.64,41.2,42.3,17.39,25.36,24.64,9.42,7.25,15.94,0,0,25.55,2.6,500,18,86080,15.54,44.35,11.29,22.04,56.74,43.26,6,92.2,7.8,48.25,27.97,7.69,13.29,2.8,0,0,699122,737345,1146,1294,4455.22361747032,4.45522361747032
"56","4620124.00","0124.00","462","Montréal",0.389792,5729,2592,20.16,71.9,7.94,33.2,31.4,0.39,18.11,0.19,0,1.73,79.38,0.19,0,40.93,2.2,1305,22.22,35781,36.63,51.66,18.21,55.87,12.55,87.45,3.6,79.34,20.66,38.15,42,8.67,6.55,1.54,1.35,1.73,473316,445462,724,775,14697.5823003038,14.6975823003038
"57","4620125.00","0125.00","462","Montréal",0.490249,6272,2617,19.78,55.34,24.8,41.9,39.5,1.15,58.51,0.76,0.19,5.74,33.08,0.57,0,36.33,2.4,1535,14.01,65510,19.31,44.39,10.33,18.98,45.66,54.34,4.7,87.09,12.91,33.08,28.46,32.31,4.81,0.38,0.96,0,648214,734383,970,1070,12793.4988138681,12.7934988138681
"58","4620126.00","0126.00","462","Montréal",0.768474,2536,897,7.89,83.83,8.28,31.8,24.1,1.11,20,0.56,0,12.22,66.11,0,0,38.55,2.1,340,16.18,36326,37.37,23.67,7.45,23.4,26.9,73.1,4.8,93.02,6.98,59.65,28.07,6.43,3.51,1.17,1.17,0,599068,610751,892,993,3300.04658583114,3.30004658583114
"59","4620128.00","0128.00","462","Montréal",3.11444,3491,1773,8.58,63.52,27.9,47,47.9,9.35,54.67,6.23,8.5,1.13,19.83,0.28,0,42.66,1.9,915,11.48,81792,17.52,34.96,6.91,25.18,50,50,5.2,95.76,4.24,51.55,26.76,12.68,4.23,3.1,0,1.69,901119,1275567,1121,1311,1120.90777154159,1.12090777154159
"60","4620130.00","0130.00","462","Montréal",0.158151,2946,2026,2.04,91.51,6.28,30.8,24.4,0,48.89,0,1.48,0.49,49.14,0,0,69.46,1.4,280,14.29,19232,57.07,27.49,5.84,53.52,9.07,90.93,2.8,90.69,9.31,38.04,36.6,12.92,8.85,3.11,0.48,0,401101,501337,762,890,18627.7671339416,18.6277671339416
"61","4620131.00","0131.00","462","Montréal",0.107787,3137,2067,4.94,82.01,12.9,36.3,29.1,0,72.57,0.24,0.49,1.21,25.24,0.24,0,65.38,1.5,410,14.63,22182,52.67,32.4,10.74,46.78,4.74,95.26,3,90.05,9.95,28.11,47.01,14.18,6.47,1.99,0.5,1.74,400032,476571,933,1017,29103.6952508187,29.1036952508187
"62","4620132.00","0132.00","462","Montréal",0.275176,4865,3061,3.91,76.57,19.53,42.6,35.3,0,55.14,0,2.12,3.1,39.48,0.16,0,70.26,1.4,640,14.84,28407,42.17,30.65,9.53,36.28,9.48,90.52,3,92.47,7.53,35.19,47.3,7.86,5.24,2.13,1.96,0.33,448768,536641,845,911,17679.5941506527,17.6795941506527
"63","4620133.00","0133.00","462","Montréal",0.149908,2508,1450,7.39,83.23,9.38,35.8,31.1,0.34,34.93,0.34,3.77,9.59,51.03,0,0,56.21,1.7,410,13.41,36896,36.82,31.83,12.53,21.97,19.79,80.21,3.6,94.68,5.32,42.96,36.62,8.45,7.04,2.11,2.11,0.7,449518,506549,880,1000,16730.2612268858,16.7302612268858
"64","4620134.00","0134.00","462","Montréal",0.0886368,1057,617,7.58,78.67,13.74,40.7,37.4,0,17.07,0,1.63,3.25,78.05,0,0,49.19,1.7,255,7.84,64896,21.33,22.33,7.77,11.11,53.33,46.67,4.2,97.52,2.48,57.02,7.44,8.26,3.31,4.96,15.7,3.31,499848,583787,1072,1082,11925.0694970938,11.9250694970938
"65","4620135.00","0135.00","462","Montréal",0.124064,1758,856,10.51,73.58,15.63,40.7,37.2,0.58,0.58,0,4.68,23.98,70.18,0,0,43.27,1.9,395,12.66,54144,26.14,24.19,4.42,14.12,36.67,63.33,4.4,97.22,2.78,70.56,15,8.33,2.78,1.67,1.67,0,598500,565811,987,1081,14170.10575187,14.17010575187
"66","4620136.00","0136.00","462","Montréal",0.187037,2774,1479,8.47,83.78,7.93,36.4,33,0,0.68,0,3.74,9.18,86.39,0,0,46.44,1.9,565,12.39,50158,26.63,28.1,4.81,14.42,29.45,70.55,4.3,95.21,4.79,60.07,17.41,5.8,7.85,2.39,2.05,4.44,469868,513983,917,999,14831.290065602,14.831290065602
"67","4620137.00","0137.00","462","Montréal",0.187812,1165,629,4.29,81.97,13.73,37.8,29.6,0,21.26,0,0,11.02,66.93,0.79,0,55.56,1.7,145,20.69,33835,38.18,29.56,5.42,27.09,17.5,82.5,3.7,94.96,5.04,55,29.17,8.33,5.83,0,0,1.67,499866,580175,829,990,6203.01152216046,6.20301152216046
"68","4620138.00","0138.00","462","Montréal",0.287086,1994,1030,7.52,79.7,12.78,37.6,32.8,0,10.68,0,0,0.97,88.35,0,0,45.15,1.9,365,17.81,46976,29.38,26.55,2.58,14.43,28.78,71.22,4.5,97.07,2.93,66.18,11.27,9.31,7.84,1.96,2.45,0.98,400619,479244,1129,1168,6945.65391555144,6.94565391555144
"69","4620034.00","0034.00","462","Montréal",0.220034,2559,1354,10.55,80.27,9.38,38.7,35.7,0.37,0,0,8.52,7.78,82.96,0.37,0,48.52,1.9,565,25.66,42167,30.33,26.33,8.14,29.92,28.83,71.17,4.2,93.43,6.57,54.71,21.01,6.52,3.99,0.72,5.07,7.97,270198,323264,689,733,11630.020814965,11.630020814965
"70","4620035.00","0035.00","462","Montréal",0.186895,2002,1124,11.25,80.25,8.5,36.4,32.9,0,0,0,0.45,4.46,95.09,0,0,47.11,1.8,450,25.56,45414,25.56,14.8,4.59,17.3,13.57,86.43,4,96.38,3.62,69.27,20.18,4.13,5.05,0,0,1.38,300277,396564,765,792,10711.8970544958,10.7118970544958
"71","4620036.00","0036.00","462","Montréal",0.191235,2074,1195,9.4,83.86,6.51,36.8,34.6,0.42,1.26,0,3.77,3.77,90.79,0,0,55.23,1.7,425,21.18,40864,26.8,19.9,4.67,17.65,24.07,75.93,3.9,96.27,3.73,45.04,24.79,6.2,9.92,4.55,5.37,4.13,345418,382532,712,767,10845.2950558214,10.8452950558214
"72","4620050.00","0050.00","462","Montréal",0.0727137,1308,693,12.21,70.61,17.18,41.2,37,0,28.47,0,0,1.46,69.34,0.73,0,53.96,1.7,255,27.45,30944,42.32,32.91,7.69,31.2,17.29,82.71,3.6,96.97,3.03,35.56,42.22,9.63,5.19,1.48,1.48,4.44,349201,376426,726,769,17988.3570771395,17.9883570771395
"73","4620051.00","0051.00","462","Montréal",0.220403,1463,823,6.48,82.94,10.24,38.7,34.6,0,9.09,0,1.21,6.06,83.64,0,0,55.15,1.7,250,12,40736,30.04,27.54,9.42,15.64,21.89,78.11,3.7,96.47,3.53,55.88,22.35,10,3.53,2.94,2.35,2.94,349272,470381,836,943,6637.84068274933,6.63784068274933
"74","4620052.00","0052.00","462","Montréal",0.143452,1959,1105,8.16,75.51,16.58,40.7,35.2,0,35.29,0.45,0.9,4.07,59.28,0,0,55.66,1.7,325,24.62,33440,40.53,25.82,5.98,31.52,9.35,90.65,3.6,94.88,5.12,34.58,35.51,12.62,10.28,2.8,0.93,3.27,399972,415332,773,787,13656.1358503193,13.6561358503193
