"HEURE_ACCDN","DT_ACCDN","NB_VICTIMES_TOTAL"
"09:00:00-09:59:00","2017/10/10",0
"08:00:00-08:59:00","2017/10/23",0
"15:00:00-15:59:00","2017/11/03",0
"15:00:00-15:59:00","2017/11/04",0
"23:00:00-23:59:00","2017/11/09",1
"07:00:00-07:59:00","2017/11/21",0
"17:00:00-17:59:00","2017/11/21",1
"13:00:00-13:59:00","2017/01/11",0
"16:00:00-16:59:00","2017/01/17",0
"08:00:00-08:59:00","2017/01/31",1
"Non précisé","2017/02/28",1
"23:00:00-23:59:00","2017/03/08",1
"20:00:00-20:59:00","2017/03/18",0
"16:00:00-16:59:00","2017/03/17",1
"10:00:00-10:59:00","2017/03/29",0
"11:00:00-11:59:00","2017/03/30",1
"15:00:00-15:59:00","2017/04/04",1
"13:00:00-13:59:00","2017/04/06",0
"17:00:00-17:59:00","2017/04/07",1
"18:00:00-18:59:00","2017/04/08",1
"14:00:00-14:59:00","2017/04/10",1
"13:00:00-13:59:00","2017/04/13",1
"17:00:00-17:59:00","2017/04/14",1
"17:00:00-17:59:00","2017/04/18",1
"17:00:00-17:59:00","2017/04/19",1
"19:00:00-19:59:00","2017/04/27",1
"12:00:00-12:59:00","2017/04/29",1
"18:00:00-18:59:00","2017/04/29",1
"22:00:00-22:59:00","2017/04/29",1
"07:00:00-07:59:00","2017/05/12",0
"20:00:00-20:59:00","2017/05/12",1
"16:00:00-16:59:00","2017/05/15",0
"17:00:00-17:59:00","2017/05/15",1
"09:00:00-09:59:00","2017/05/16",1
"09:00:00-09:59:00","2017/05/18",1
"12:00:00-12:59:00","2017/05/20",1
"14:00:00-14:59:00","2017/05/21",1
"20:00:00-20:59:00","2017/05/19",1
"21:00:00-21:59:00","2017/05/21",1
"15:00:00-15:59:00","2017/05/23",1
"21:00:00-21:59:00","2017/05/23",1
"09:00:00-09:59:00","2017/05/24",1
"17:00:00-17:59:00","2017/05/24",1
"07:00:00-07:59:00","2017/05/29",1
"10:00:00-10:59:00","2017/05/29",0
"21:00:00-21:59:00","2017/05/29",1
"07:00:00-07:59:00","2017/06/01",0
"18:00:00-18:59:00","2017/06/02",0
"03:00:00-03:59:00","2017/06/04",1
"09:00:00-09:59:00","2017/06/05",1
"18:00:00-18:59:00","2017/06/05",1
"06:00:00-06:59:00","2017/06/09",0
"16:00:00-16:59:00","2017/06/09",1
"13:00:00-13:59:00","2017/05/28",0
"07:00:00-07:59:00","2017/06/12",1
"16:00:00-16:59:00","2017/06/12",1
"19:00:00-19:59:00","2017/06/13",1
"19:00:00-19:59:00","2017/06/13",1
"06:00:00-06:59:00","2017/06/15",1
"15:00:00-15:59:00","2017/06/15",1
"12:00:00-12:59:00","2017/06/19",1
"10:00:00-10:59:00","2017/06/19",1
"15:00:00-15:59:00","2017/06/19",1
"13:00:00-13:59:00","2017/06/20",1
"19:00:00-19:59:00","2017/06/21",1
"02:00:00-02:59:00","2017/06/24",0
"22:00:00-22:59:00","2017/06/26",1
"04:00:00-04:59:00","2017/06/27",1
"08:00:00-08:59:00","2017/06/29",0
"12:00:00-12:59:00","2017/06/29",1
"18:00:00-18:59:00","2017/06/30",0
"21:00:00-21:59:00","2017/06/30",1
"09:00:00-09:59:00","2017/07/01",1
"13:00:00-13:59:00","2017/07/03",1
"12:00:00-12:59:00","2017/07/03",1
"14:00:00-14:59:00","2017/07/03",1
"03:00:00-03:59:00","2017/06/12",0
"09:00:00-09:59:00","2017/07/05",1
"21:00:00-21:59:00","2017/07/08",1
"23:00:00-23:59:00","2017/07/09",1
"09:00:00-09:59:00","2017/07/13",1
"15:00:00-15:59:00","2017/07/13",1
"11:00:00-11:59:00","2017/07/16",0
"21:00:00-21:59:00","2017/07/17",1
"05:00:00-05:59:00","2017/07/20",1
"19:00:00-19:59:00","2017/07/19",1
"15:00:00-15:59:00","2017/07/23",1
"18:00:00-18:59:00","2017/07/24",1
"20:00:00-20:59:00","2017/07/26",1
"22:00:00-22:59:00","2017/07/26",0
"14:00:00-14:59:00","2017/07/29",1
"06:00:00-06:59:00","2017/08/02",1
"18:00:00-18:59:00","2017/08/02",1
"22:00:00-22:59:00","2017/08/03",0
"17:00:00-17:59:00","2017/08/08",1
"14:00:00-14:59:00","2017/08/09",1
"23:00:00-23:59:00","2017/08/10",1
"18:00:00-18:59:00","2017/08/14",1
"10:00:00-10:59:00","2017/08/15",1
"18:00:00-18:59:00","2017/08/11",1
"08:00:00-08:59:00","2017/07/17",1
"12:00:00-12:59:00","2017/08/21",1
"Non précisé","2017/08/21",0
"Non précisé","2017/08/22",1
"16:00:00-16:59:00","2017/08/24",1
"18:00:00-18:59:00","2017/08/24",1
"14:00:00-14:59:00","2017/08/25",1
"14:00:00-14:59:00","2017/08/25",0
"06:00:00-06:59:00","2017/08/28",1
"14:00:00-14:59:00","2017/08/28",1
"06:00:00-06:59:00","2017/08/29",1
"07:00:00-07:59:00","2017/08/31",1
"14:00:00-14:59:00","2017/08/31",1
"14:00:00-14:59:00","2017/08/19",0
"15:00:00-15:59:00","2017/09/01",0
"11:00:00-11:59:00","2017/08/30",0
"18:00:00-18:59:00","2017/09/01",0
"23:00:00-23:59:00","2017/08/22",1
"17:00:00-17:59:00","2017/09/02",1
"17:00:00-17:59:00","2017/09/06",1
"12:00:00-12:59:00","2017/09/08",1
"13:00:00-13:59:00","2017/09/08",1
"16:00:00-16:59:00","2017/09/10",1
"20:00:00-20:59:00","2017/09/11",1
"08:00:00-08:59:00","2017/09/12",1
"08:00:00-08:59:00","2017/09/14",1
"09:00:00-09:59:00","2017/09/14",1
"15:00:00-15:59:00","2017/09/14",1
"21:00:00-21:59:00","2017/09/14",0
"13:00:00-13:59:00","2017/09/15",0
"19:00:00-19:59:00","2017/09/15",0
"15:00:00-15:59:00","2017/09/17",0
"16:00:00-16:59:00","2017/09/21",1
"11:00:00-11:59:00","2017/09/21",0
"15:00:00-15:59:00","2017/09/22",1
"18:00:00-18:59:00","2017/09/22",1
"15:00:00-15:59:00","2017/09/23",1
"02:00:00-02:59:00","2017/09/24",1
"14:00:00-14:59:00","2017/09/24",1
"21:00:00-21:59:00","2017/09/28",1
"08:00:00-08:59:00","2017/09/29",1
"08:00:00-08:59:00","2017/10/02",1
"09:00:00-09:59:00","2017/10/02",1
"11:00:00-11:59:00","2017/10/03",1
"12:00:00-12:59:00","2017/10/03",0
"01:00:00-01:59:00","2017/10/06",1
"18:00:00-18:59:00","2017/10/09",1
"18:00:00-18:59:00","2017/10/12",1
"00:00:00-00:59:00","2017/10/13",1
"14:00:00-14:59:00","2017/10/16",1
"21:00:00-21:59:00","2017/10/10",1
"16:00:00-16:59:00","2017/10/16",0
"16:00:00-16:59:00","2017/10/18",2
"13:00:00-13:59:00","2017/10/19",0
"21:00:00-21:59:00","2017/10/23",1
"10:00:00-10:59:00","2017/10/27",0
"12:00:00-12:59:00","2017/10/28",0
"17:00:00-17:59:00","2017/10/30",1
"17:00:00-17:59:00","2017/10/30",1
"18:00:00-18:59:00","2017/11/02",1
"21:00:00-21:59:00","2017/11/02",1
"19:00:00-19:59:00","2017/11/04",1
"18:00:00-18:59:00","2017/11/05",1
"09:00:00-09:59:00","2017/11/09",0
"18:00:00-18:59:00","2017/11/09",1
"Non précisé","2017/11/14",1
"11:00:00-11:59:00","2017/11/17",1
"02:00:00-02:59:00","2017/11/19",1
"22:00:00-22:59:00","2017/11/14",1
"16:00:00-16:59:00","2017/11/29",1
"17:00:00-17:59:00","2017/12/01",0
"19:00:00-19:59:00","2017/04/13",1
"17:00:00-17:59:00","2017/04/24",1
"13:00:00-13:59:00","2017/04/30",0
"14:00:00-14:59:00","2017/05/16",0
"21:00:00-21:59:00","2017/05/18",1
"12:00:00-12:59:00","2017/05/22",1
"14:00:00-14:59:00","2017/06/09",0
"19:00:00-19:59:00","2017/06/13",0
"12:00:00-12:59:00","2017/06/24",0
"12:00:00-12:59:00","2017/06/30",1
"17:00:00-17:59:00","2017/06/30",1
"17:00:00-17:59:00","2017/07/01",1
"19:00:00-19:59:00","2017/07/24",1
"12:00:00-12:59:00","2017/07/26",1
"21:00:00-21:59:00","2017/07/28",1
"15:00:00-15:59:00","2017/08/25",1
"11:00:00-11:59:00","2017/08/30",1
"11:00:00-11:59:00","2017/09/10",0
"16:00:00-16:59:00","2017/09/29",1
"02:00:00-02:59:00","2017/10/03",0
"13:00:00-13:59:00","2017/04/18",1
"17:00:00-17:59:00","2017/06/28",1
"21:00:00-21:59:00","2017/07/15",1
"10:00:00-10:59:00","2017/07/25",1
"16:00:00-16:59:00","2017/08/04",1
"11:00:00-11:59:00","2017/08/07",1
"10:00:00-10:59:00","2017/08/19",0
"20:00:00-20:59:00","2017/08/19",0
"14:00:00-14:59:00","2017/08/24",1
"15:00:00-15:59:00","2017/09/29",1
"08:00:00-08:59:00","2017/02/02",1
"20:00:00-20:59:00","2017/03/31",0
"12:00:00-12:59:00","2017/04/05",1
"16:00:00-16:59:00","2017/04/10",1
"16:00:00-16:59:00","2017/05/01",1
"15:00:00-15:59:00","2017/05/17",1
"21:00:00-21:59:00","2017/05/21",1
"21:00:00-21:59:00","2017/05/21",1
"08:00:00-08:59:00","2017/05/24",1
"17:00:00-17:59:00","2017/05/24",1
"16:00:00-16:59:00","2017/06/01",1
"22:00:00-22:59:00","2017/06/07",1
"09:00:00-09:59:00","2017/06/13",0
"20:00:00-20:59:00","2017/06/13",1
"14:00:00-14:59:00","2017/06/24",1
"15:00:00-15:59:00","2017/07/02",1
"19:00:00-19:59:00","2017/07/11",1
"09:00:00-09:59:00","2017/07/14",1
"16:00:00-16:59:00","2017/07/12",0
"17:00:00-17:59:00","2017/07/17",0
"18:00:00-18:59:00","2017/07/17",1
"16:00:00-16:59:00","2017/07/20",1
"19:00:00-19:59:00","2017/07/20",1
"20:00:00-20:59:00","2017/07/25",1
"16:00:00-16:59:00","2017/07/28",1
"20:00:00-20:59:00","2017/08/11",1
"14:00:00-14:59:00","2017/08/13",1
"14:00:00-14:59:00","2017/08/18",1
"14:00:00-14:59:00","2017/08/28",1
"09:00:00-09:59:00","2017/09/11",1
"15:00:00-15:59:00","2017/09/14",1
"07:00:00-07:59:00","2017/09/13",1
"16:00:00-16:59:00","2017/09/15",0
"15:00:00-15:59:00","2017/09/16",1
"16:00:00-16:59:00","2017/09/18",1
"15:00:00-15:59:00","2017/09/22",1
"18:00:00-18:59:00","2017/09/25",1
"07:00:00-07:59:00","2017/09/28",1
"07:00:00-07:59:00","2017/10/16",1
"08:00:00-08:59:00","2017/11/02",1
"18:00:00-18:59:00","2017/11/02",1
"Non précisé","2017/11/05",1
"17:00:00-17:59:00","2017/11/29",0
"Non précisé","2017/09/15",1
"15:00:00-15:59:00","2017/10/23",0
"20:00:00-20:59:00","2017/11/14",1
"16:00:00-16:59:00","2017/12/01",0
"08:00:00-08:59:00","2017/04/26",1
"12:00:00-12:59:00","2017/05/29",1
"18:00:00-18:59:00","2017/06/02",0
"22:00:00-22:59:00","2017/08/08",1
"16:00:00-16:59:00","2017/08/24",1
"18:00:00-18:59:00","2017/08/25",1
"10:00:00-10:59:00","2017/09/01",1
"16:00:00-16:59:00","2017/09/26",1
"17:00:00-17:59:00","2017/10/10",1
"11:00:00-11:59:00","2017/10/16",1
"19:00:00-19:59:00","2017/10/26",0
"15:00:00-15:59:00","2017/04/15",0
"16:00:00-16:59:00","2017/04/20",0
"12:00:00-12:59:00","2017/05/12",1
"17:00:00-17:59:00","2017/06/12",1
"15:00:00-15:59:00","2017/06/14",1
"11:00:00-11:59:00","2017/06/30",1
"12:00:00-12:59:00","2017/07/04",1
"16:00:00-16:59:00","2017/07/09",1
"18:00:00-18:59:00","2017/07/11",0
"16:00:00-16:59:00","2017/07/27",0
"16:00:00-16:59:00","2017/08/18",1
"17:00:00-17:59:00","2017/08/18",1
"19:00:00-19:59:00","2017/09/07",1
"07:00:00-07:59:00","2017/09/26",1
"08:00:00-08:59:00","2017/09/20",1
"10:00:00-10:59:00","2017/11/20",1
"18:00:00-18:59:00","2017/07/01",1
"12:00:00-12:59:00","2017/07/03",1
"20:00:00-20:59:00","2017/07/05",0
"13:00:00-13:59:00","2017/07/27",1
"16:00:00-16:59:00","2017/08/01",0
"10:00:00-10:59:00","2017/08/02",1
"07:00:00-07:59:00","2017/08/11",1
"18:00:00-18:59:00","2017/08/16",0
"18:00:00-18:59:00","2017/08/30",1
"15:00:00-15:59:00","2017/09/25",1
"15:00:00-15:59:00","2017/09/24",1
"08:00:00-08:59:00","2017/09/29",1
"13:00:00-13:59:00","2017/10/21",1
"16:00:00-16:59:00","2017/06/07",1
"16:00:00-16:59:00","2017/06/28",1
"07:00:00-07:59:00","2017/07/21",1
"09:00:00-09:59:00","2017/09/09",1
"13:00:00-13:59:00","2017/10/21",1
"16:00:00-16:59:00","2018/05/16",1
"14:00:00-14:59:00","2018/06/17",1
"17:00:00-17:59:00","2018/06/26",1
"21:00:00-21:59:00","2018/07/04",0
"16:00:00-16:59:00","2018/07/27",1
"18:00:00-18:59:00","2018/08/05",1
"17:00:00-17:59:00","2018/08/16",0
"13:00:00-13:59:00","2018/09/03",1
"13:00:00-13:59:00","2018/09/10",1
"14:00:00-14:59:00","2018/10/21",0
"19:00:00-19:59:00","2018/11/08",1
"14:00:00-14:59:00","2018/11/15",1
"07:00:00-07:59:00","2018/05/15",1
"15:00:00-15:59:00","2018/06/09",1
"09:00:00-09:59:00","2018/06/23",1
"10:00:00-10:59:00","2018/06/24",1
"13:00:00-13:59:00","2018/07/11",1
"14:00:00-14:59:00","2018/08/15",1
"09:00:00-09:59:00","2018/04/06",1
"12:00:00-12:59:00","2018/05/11",1
"07:00:00-07:59:00","2018/05/18",1
"12:00:00-12:59:00","2018/06/17",1
"16:00:00-16:59:00","2018/07/25",1
"19:00:00-19:59:00","2018/07/26",1
"14:00:00-14:59:00","2018/08/08",1
"10:00:00-10:59:00","2018/08/23",1
"13:00:00-13:59:00","2018/09/08",1
"15:00:00-15:59:00","2018/09/14",0
"12:00:00-12:59:00","2018/12/16",0
"05:00:00-05:59:00","2018/02/05",1
"15:00:00-15:59:00","2018/03/01",1
"20:00:00-20:59:00","2018/04/08",1
"Non précisé","2018/05/17",1
"08:00:00-08:59:00","2018/05/31",0
"11:00:00-11:59:00","2018/06/17",0
"17:00:00-17:59:00","2018/06/20",1
"18:00:00-18:59:00","2018/06/26",0
"13:00:00-13:59:00","2018/06/27",1
"08:00:00-08:59:00","2018/07/19",1
"14:00:00-14:59:00","2018/07/23",1
"19:00:00-19:59:00","2018/08/04",1
"15:00:00-15:59:00","2018/08/15",1
"17:00:00-17:59:00","2018/08/15",1
"21:00:00-21:59:00","2018/08/16",1
"09:00:00-09:59:00","2018/09/14",1
"07:00:00-07:59:00","2018/09/14",1
"16:00:00-16:59:00","2018/09/18",1
"08:00:00-08:59:00","2018/10/01",0
"17:00:00-17:59:00","2018/05/08",1
"15:00:00-15:59:00","2018/05/23",1
"09:00:00-09:59:00","2018/06/20",1
"07:00:00-07:59:00","2018/06/29",1
"18:00:00-18:59:00","2018/07/03",1
"10:00:00-10:59:00","2018/07/05",1
"16:00:00-16:59:00","2018/07/06",0
"18:00:00-18:59:00","2018/08/01",0
"13:00:00-13:59:00","2018/08/17",0
"15:00:00-15:59:00","2018/09/04",0
"14:00:00-14:59:00","2018/09/28",0
"18:00:00-18:59:00","2018/09/29",1
"08:00:00-08:59:00","2018/07/16",1
"16:00:00-16:59:00","2018/07/18",0
"11:00:00-11:59:00","2018/08/19",1
"18:00:00-18:59:00","2018/09/04",1
"16:00:00-16:59:00","2018/05/05",1
"10:00:00-10:59:00","2018/06/03",1
"21:00:00-21:59:00","2018/06/12",0
"15:00:00-15:59:00","2018/07/22",2
"17:00:00-17:59:00","2018/08/23",1
"18:00:00-18:59:00","2018/10/08",1
"16:00:00-16:59:00","2018/10/18",1
"17:00:00-17:59:00","2018/11/08",1
"16:00:00-16:59:00","2018/11/17",1
"11:00:00-11:59:00","2018/11/18",0
"05:00:00-05:59:00","2018/04/17",0
"14:00:00-14:59:00","2018/04/24",1
"11:00:00-11:59:00","2018/05/01",1
"09:00:00-09:59:00","2018/04/23",1
"11:00:00-11:59:00","2018/05/13",1
"13:00:00-13:59:00","2018/05/30",1
"13:00:00-13:59:00","2018/06/01",1
"12:00:00-12:59:00","2018/06/06",0
"08:00:00-08:59:00","2018/06/13",1
"18:00:00-18:59:00","2018/06/15",0
"20:00:00-20:59:00","2018/07/09",1
"19:00:00-19:59:00","2018/07/22",1
"14:00:00-14:59:00","2018/07/26",0
"12:00:00-12:59:00","2018/08/04",1
"16:00:00-16:59:00","2018/08/15",2
"11:00:00-11:59:00","2018/08/17",1
"08:00:00-08:59:00","2018/08/20",0
"21:00:00-21:59:00","2018/09/19",1
"07:00:00-07:59:00","2018/09/27",0
"08:00:00-08:59:00","2018/09/29",1
"00:00:00-00:59:00","2018/10/10",1
"16:00:00-16:59:00","2018/10/12",1
"20:00:00-20:59:00","2018/05/02",1
"16:00:00-16:59:00","2018/05/09",1
"21:00:00-21:59:00","2018/05/19",0
"08:00:00-08:59:00","2018/05/26",1
"11:00:00-11:59:00","2018/06/07",0
"14:00:00-14:59:00","2018/07/02",1
"10:00:00-10:59:00","2018/08/04",1
"15:00:00-15:59:00","2018/08/17",0
"10:00:00-10:59:00","2018/09/07",1
"23:00:00-23:59:00","2018/09/17",0
"08:00:00-08:59:00","2018/09/27",0
"17:00:00-17:59:00","2018/10/03",0
"20:00:00-20:59:00","2018/10/05",1
"12:00:00-12:59:00","2018/10/18",1
"16:00:00-16:59:00","2018/10/24",0
"10:00:00-10:59:00","2018/01/12",1
"08:00:00-08:59:00","2018/03/29",0
"14:00:00-14:59:00","2018/03/29",1
"13:00:00-13:59:00","2018/05/06",1
"11:00:00-11:59:00","2018/05/14",0
"17:00:00-17:59:00","2018/05/16",1
"15:00:00-15:59:00","2018/05/16",1
"21:00:00-21:59:00","2018/05/24",1
"16:00:00-16:59:00","2018/06/03",0
"00:00:00-00:59:00","2018/06/18",1
"16:00:00-16:59:00","2018/06/26",0
"15:00:00-15:59:00","2018/07/04",1
"08:00:00-08:59:00","2018/07/05",1
"15:00:00-15:59:00","2018/07/07",1
"12:00:00-12:59:00","2018/07/08",1
"20:00:00-20:59:00","2018/07/09",1
"16:00:00-16:59:00","2018/07/19",0
"15:00:00-15:59:00","2018/08/16",0
"13:00:00-13:59:00","2018/09/15",1
"09:00:00-09:59:00","2018/10/10",1
"19:00:00-19:59:00","2018/10/24",1
"16:00:00-16:59:00","2018/04/28",1
"10:00:00-10:59:00","2018/05/08",1
"15:00:00-15:59:00","2018/05/15",1
"14:00:00-14:59:00","2018/05/16",1
"15:00:00-15:59:00","2018/05/23",1
"14:00:00-14:59:00","2018/05/25",1
"20:00:00-20:59:00","2018/06/03",1
"16:00:00-16:59:00","2018/06/13",1
"17:00:00-17:59:00","2018/06/14",0
"22:00:00-22:59:00","2018/06/16",0
"15:00:00-15:59:00","2018/06/24",1
"14:00:00-14:59:00","2018/06/24",1
"15:00:00-15:59:00","2018/07/04",1
"19:00:00-19:59:00","2018/07/08",0
"20:00:00-20:59:00","2018/07/19",1
"17:00:00-17:59:00","2018/07/23",1
"16:00:00-16:59:00","2018/08/09",0
"09:00:00-09:59:00","2018/08/10",1
"19:00:00-19:59:00","2018/08/09",0
"16:00:00-16:59:00","2018/08/16",1
"Non précisé","2018/08/31",0
"18:00:00-18:59:00","2018/09/06",0
"22:00:00-22:59:00","2018/09/17",1
"22:00:00-22:59:00","2018/09/23",1
"18:00:00-18:59:00","2018/09/27",1
"17:00:00-17:59:00","2018/10/05",1
"18:00:00-18:59:00","2018/10/15",1
"18:00:00-18:59:00","2018/10/17",1
"07:00:00-07:59:00","2018/10/19",1
"16:00:00-16:59:00","2018/05/05",1
"Non précisé","2018/05/06",1
"15:00:00-15:59:00","2018/05/22",1
"11:00:00-11:59:00","2018/05/31",1
"18:00:00-18:59:00","2018/06/07",1
"12:00:00-12:59:00","2018/06/11",1
"17:00:00-17:59:00","2018/06/20",1
"17:00:00-17:59:00","2018/06/22",1
"16:00:00-16:59:00","2018/06/25",0
"11:00:00-11:59:00","2018/06/28",0
"15:00:00-15:59:00","2018/07/09",1
"18:00:00-18:59:00","2018/07/24",0
"16:00:00-16:59:00","2018/07/30",1
"08:00:00-08:59:00","2018/08/12",1
"16:00:00-16:59:00","2018/08/31",0
"09:00:00-09:59:00","2018/09/03",1
"20:00:00-20:59:00","2018/09/03",1
"16:00:00-16:59:00","2018/09/07",1
"10:00:00-10:59:00","2018/09/16",1
"08:00:00-08:59:00","2018/09/17",1
"16:00:00-16:59:00","2018/09/17",1
"08:00:00-08:59:00","2018/10/05",1
"14:00:00-14:59:00","2018/10/22",1
"06:00:00-06:59:00","2018/11/08",1
"13:00:00-13:59:00","2018/04/03",1
"19:00:00-19:59:00","2018/04/17",1
"20:00:00-20:59:00","2018/04/18",1
"09:00:00-09:59:00","2018/05/01",1
"16:00:00-16:59:00","2018/05/03",1
"17:00:00-17:59:00","2018/05/03",0
"14:00:00-14:59:00","2018/05/20",1
"17:00:00-17:59:00","2018/05/22",0
"08:00:00-08:59:00","2018/06/07",1
"13:00:00-13:59:00","2018/06/08",1
"20:00:00-20:59:00","2018/06/08",0
"21:00:00-21:59:00","2018/06/12",1
"14:00:00-14:59:00","2018/06/20",1
"10:00:00-10:59:00","2018/07/06",1
"12:00:00-12:59:00","2018/07/10",1
"09:00:00-09:59:00","2018/07/12",0
"17:00:00-17:59:00","2018/07/16",1
"09:00:00-09:59:00","2018/07/12",0
"15:00:00-15:59:00","2018/07/24",1
"17:00:00-17:59:00","2018/07/24",1
"09:00:00-09:59:00","2018/07/27",1
"13:00:00-13:59:00","2018/07/27",0
"18:00:00-18:59:00","2018/08/15",1
"10:00:00-10:59:00","2018/08/13",1
"08:00:00-08:59:00","2018/08/20",0
"16:00:00-16:59:00","2018/08/24",1
"23:00:00-23:59:00","2018/08/28",0
"09:00:00-09:59:00","2018/08/30",1
"15:00:00-15:59:00","2018/08/31",1
"12:00:00-12:59:00","2018/09/05",1
"14:00:00-14:59:00","2018/09/05",1
"17:00:00-17:59:00","2018/09/07",1
"11:00:00-11:59:00","2018/09/13",1
"17:00:00-17:59:00","2018/09/14",0
"12:00:00-12:59:00","2018/09/16",1
"09:00:00-09:59:00","2018/09/17",0
"21:00:00-21:59:00","2018/09/25",1
"11:00:00-11:59:00","2018/09/28",1
"10:00:00-10:59:00","2018/10/02",1
"08:00:00-08:59:00","2018/10/05",1
"20:00:00-20:59:00","2018/11/10",1
"14:00:00-14:59:00","2018/11/13",1
"07:00:00-07:59:00","2018/11/22",0
"19:00:00-19:59:00","2018/12/18",1
"09:00:00-09:59:00","2018/02/05",1
"11:00:00-11:59:00","2018/02/18",1
"20:00:00-20:59:00","2018/04/15",0
"07:00:00-07:59:00","2018/04/24",0
"17:00:00-17:59:00","2018/05/30",0
"Non précisé","2018/05/30",1
"11:00:00-11:59:00","2018/06/08",1
"19:00:00-19:59:00","2018/06/08",1
"14:00:00-14:59:00","2018/06/11",1
"17:00:00-17:59:00","2018/06/13",1
"12:00:00-12:59:00","2018/06/15",1
"22:00:00-22:59:00","2018/06/16",1
"07:00:00-07:59:00","2018/06/19",0
"08:00:00-08:59:00","2018/06/20",1
"18:00:00-18:59:00","2018/06/21",1
"18:00:00-18:59:00","2018/06/15",0
"14:00:00-14:59:00","2018/06/26",1
"18:00:00-18:59:00","2018/06/29",1
"04:00:00-04:59:00","2018/07/03",1
"16:00:00-16:59:00","2018/07/04",2
"13:00:00-13:59:00","2018/07/06",1
"12:00:00-12:59:00","2018/07/06",1
"08:00:00-08:59:00","2018/07/11",0
"02:00:00-02:59:00","2018/07/12",1
"15:00:00-15:59:00","2018/07/19",0
"17:00:00-17:59:00","2018/07/19",1
"15:00:00-15:59:00","2018/07/20",1
"18:00:00-18:59:00","2018/07/28",1
"23:00:00-23:59:00","2018/08/02",2
"08:00:00-08:59:00","2018/08/17",1
"20:00:00-20:59:00","2018/08/19",1
"17:00:00-17:59:00","2018/08/20",0
"07:00:00-07:59:00","2018/08/30",1
"18:00:00-18:59:00","2018/08/31",1
"16:00:00-16:59:00","2018/09/14",0
"09:00:00-09:59:00","2018/09/17",1
"00:00:00-00:59:00","2018/09/16",1
"18:00:00-18:59:00","2018/09/20",0
"18:00:00-18:59:00","2018/09/20",1
"15:00:00-15:59:00","2018/09/28",1
"08:00:00-08:59:00","2018/10/12",1
"18:00:00-18:59:00","2018/10/20",1
"09:00:00-09:59:00","2018/10/30",1
"16:00:00-16:59:00","2018/10/30",1
"13:00:00-13:59:00","2018/12/03",1
"18:00:00-18:59:00","2018/12/03",1
"16:00:00-16:59:00","2018/02/23",1
"09:00:00-09:59:00","2018/03/16",1
"00:00:00-00:59:00","2018/03/30",0
"23:00:00-23:59:00","2018/04/09",0
"12:00:00-12:59:00","2018/04/19",1
"19:00:00-19:59:00","2018/04/22",1
"12:00:00-12:59:00","2018/05/02",0
"14:00:00-14:59:00","2018/05/13",1
"18:00:00-18:59:00","2018/05/14",1
"07:00:00-07:59:00","2018/05/29",1
"08:00:00-08:59:00","2018/05/30",1
"08:00:00-08:59:00","2018/05/30",1
"00:00:00-00:59:00","2018/06/03",2
"20:00:00-20:59:00","2018/06/06",1
"07:00:00-07:59:00","2018/06/07",1
"10:00:00-10:59:00","2018/06/15",1
"16:00:00-16:59:00","2018/06/19",1
"09:00:00-09:59:00","2018/06/24",1
"18:00:00-18:59:00","2018/06/19",1
"14:00:00-14:59:00","2018/06/29",1
"12:00:00-12:59:00","2018/07/11",1
"16:00:00-16:59:00","2018/07/10",1
"21:00:00-21:59:00","2018/07/13",1
"08:00:00-08:59:00","2018/07/18",1
"18:00:00-18:59:00","2018/07/21",1
"22:00:00-22:59:00","2018/07/22",1
"17:00:00-17:59:00","2018/07/25",1
"03:00:00-03:59:00","2018/07/28",1
"12:00:00-12:59:00","2018/07/28",1
"13:00:00-13:59:00","2018/07/28",1
"18:00:00-18:59:00","2018/07/29",1
"23:00:00-23:59:00","2018/08/02",1
"08:00:00-08:59:00","2018/08/09",1
"16:00:00-16:59:00","2018/08/12",0
"14:00:00-14:59:00","2018/08/15",1
"17:00:00-17:59:00","2018/08/15",1
"00:00:00-00:59:00","2018/08/20",1
"11:00:00-11:59:00","2018/08/21",0
"10:00:00-10:59:00","2018/08/25",1
"10:00:00-10:59:00","2018/08/26",1
"07:00:00-07:59:00","2018/09/12",0
"08:00:00-08:59:00","2018/09/18",1
"09:00:00-09:59:00","2018/09/19",0
"19:00:00-19:59:00","2018/09/24",2
"05:00:00-05:59:00","2018/09/26",1
"12:00:00-12:59:00","2018/09/29",1
"15:00:00-15:59:00","2018/10/03",1
"18:00:00-18:59:00","2018/10/05",1
"08:00:00-08:59:00","2018/10/07",1
"16:00:00-16:59:00","2018/10/17",1
"22:00:00-22:59:00","2018/10/25",1
"04:00:00-04:59:00","2018/10/27",0
"19:00:00-19:59:00","2018/10/27",1
"19:00:00-19:59:00","2018/11/12",0
"18:00:00-18:59:00","2018/12/11",0
"06:00:00-06:59:00","2018/02/21",0
"21:00:00-21:59:00","2018/02/21",1
"16:00:00-16:59:00","2018/04/13",1
"21:00:00-21:59:00","2018/04/26",1
"16:00:00-16:59:00","2018/05/09",1
"08:00:00-08:59:00","2018/06/01",1
"08:00:00-08:59:00","2018/06/19",1
"15:00:00-15:59:00","2018/06/21",1
"12:00:00-12:59:00","2018/06/28",0
"20:00:00-20:59:00","2018/06/29",1
"01:00:00-01:59:00","2018/07/09",0
"17:00:00-17:59:00","2018/07/09",1
"08:00:00-08:59:00","2018/07/12",1
"16:00:00-16:59:00","2018/07/18",1
