"HEURE_ACCDN","DT_ACCDN","NB_VICTIMES_TOTAL"
"07:00:00-07:59:00","2017/08/03",1
"11:00:00-11:59:00","2017/08/03",1
"08:00:00-08:59:00","2017/09/12",1
"13:00:00-13:59:00","2017/09/15",1
"18:00:00-18:59:00","2017/09/15",1
"14:00:00-14:59:00","2017/10/01",1
"20:00:00-20:59:00","2017/10/05",1
"14:00:00-14:59:00","2017/11/01",1
"14:00:00-14:59:00","2017/12/01",1
"15:00:00-15:59:00","2017/12/02",1
"05:00:00-05:59:00","2017/03/09",1
"17:00:00-17:59:00","2017/05/02",1
"10:00:00-10:59:00","2017/05/13",1
"14:00:00-14:59:00","2017/05/22",0
"08:00:00-08:59:00","2017/05/23",1
"20:00:00-20:59:00","2017/06/15",1
"17:00:00-17:59:00","2017/06/26",1
"07:00:00-07:59:00","2017/07/04",1
"17:00:00-17:59:00","2017/07/06",1
"01:00:00-01:59:00","2017/07/15",1
"21:00:00-21:59:00","2017/07/15",1
"18:00:00-18:59:00","2017/07/18",1
"16:00:00-16:59:00","2017/07/19",1
"16:00:00-16:59:00","2017/07/25",0
"15:00:00-15:59:00","2017/08/02",0
"07:00:00-07:59:00","2017/08/08",1
"15:00:00-15:59:00","2017/08/17",0
"15:00:00-15:59:00","2017/09/01",1
"16:00:00-16:59:00","2017/09/16",0
"09:00:00-09:59:00","2017/09/19",1
"18:00:00-18:59:00","2017/09/20",1
"12:00:00-12:59:00","2017/09/26",1
"12:00:00-12:59:00","2017/10/01",1
"21:00:00-21:59:00","2017/10/09",0
"18:00:00-18:59:00","2017/10/14",0
"05:00:00-05:59:00","2017/10/25",1
"17:00:00-17:59:00","2017/11/05",1
"00:00:00-00:59:00","2017/11/09",1
"08:00:00-08:59:00","2017/11/20",1
"21:00:00-21:59:00","2017/11/22",1
"11:00:00-11:59:00","2017/11/24",1
"19:00:00-19:59:00","2017/12/04",1
"20:00:00-20:59:00","2017/12/15",1
"16:00:00-16:59:00","2017/06/12",1
"18:00:00-18:59:00","2017/06/21",1
"20:00:00-20:59:00","2017/07/07",1
"18:00:00-18:59:00","2017/07/15",1
"10:00:00-10:59:00","2017/07/28",0
"11:00:00-11:59:00","2017/07/28",1
"17:00:00-17:59:00","2017/08/01",0
"15:00:00-15:59:00","2017/08/19",1
"13:00:00-13:59:00","2017/08/25",1
"18:00:00-18:59:00","2017/09/01",1
"16:00:00-16:59:00","2017/10/03",1
"16:00:00-16:59:00","2017/10/18",1
"22:00:00-22:59:00","2017/11/01",1
"13:00:00-13:59:00","2017/01/23",1
"15:00:00-15:59:00","2017/02/28",1
"16:00:00-16:59:00","2017/04/03",0
"09:00:00-09:59:00","2017/04/10",1
"15:00:00-15:59:00","2017/04/30",0
"17:00:00-17:59:00","2017/05/02",1
"13:00:00-13:59:00","2017/05/13",1
"14:00:00-14:59:00","2017/05/20",0
"12:00:00-12:59:00","2017/05/21",0
"16:00:00-16:59:00","2017/05/24",1
"17:00:00-17:59:00","2017/05/24",0
"15:00:00-15:59:00","2017/05/27",1
"18:00:00-18:59:00","2017/05/30",0
"17:00:00-17:59:00","2017/05/31",1
"17:00:00-17:59:00","2017/06/03",1
"23:00:00-23:59:00","2017/06/02",0
"20:00:00-20:59:00","2017/06/08",0
"16:00:00-16:59:00","2017/06/13",1
"14:00:00-14:59:00","2017/06/07",0
"07:00:00-07:59:00","2017/06/15",1
"08:00:00-08:59:00","2017/06/21",1
"18:00:00-18:59:00","2017/06/26",1
"07:00:00-07:59:00","2017/07/05",1
"15:00:00-15:59:00","2017/07/09",1
"08:00:00-08:59:00","2017/07/12",1
"13:00:00-13:59:00","2017/07/20",1
"16:00:00-16:59:00","2017/07/22",1
"08:00:00-08:59:00","2017/07/26",1
"07:00:00-07:59:00","2017/07/26",1
"16:00:00-16:59:00","2017/07/31",1
"09:00:00-09:59:00","2017/07/31",1
"09:00:00-09:59:00","2017/08/11",1
"10:00:00-10:59:00","2017/07/04",1
"09:00:00-09:59:00","2017/08/24",1
"05:00:00-05:59:00","2017/08/26",0
"18:00:00-18:59:00","2017/08/28",1
"18:00:00-18:59:00","2017/09/07",0
"08:00:00-08:59:00","2017/09/12",1
"15:00:00-15:59:00","2017/09/12",1
"12:00:00-12:59:00","2017/09/13",1
"23:00:00-23:59:00","2017/09/21",1
"17:00:00-17:59:00","2017/09/28",1
"07:00:00-07:59:00","2017/10/02",1
"12:00:00-12:59:00","2017/10/02",1
"11:00:00-11:59:00","2017/10/04",1
"11:00:00-11:59:00","2017/10/12",1
"13:00:00-13:59:00","2017/10/20",1
"13:00:00-13:59:00","2017/10/24",1
"19:00:00-19:59:00","2017/10/29",1
"11:00:00-11:59:00","2017/11/02",1
"10:00:00-10:59:00","2017/11/03",1
"00:00:00-00:59:00","2017/11/11",1
"13:00:00-13:59:00","2017/11/12",0
"09:00:00-09:59:00","2017/11/29",1
"19:00:00-19:59:00","2017/03/15",1
"09:00:00-09:59:00","2017/04/03",1
"18:00:00-18:59:00","2017/04/18",1
"13:00:00-13:59:00","2017/04/15",0
"06:00:00-06:59:00","2017/04/28",0
"22:00:00-22:59:00","2017/04/18",1
"11:00:00-11:59:00","2017/05/06",0
"07:00:00-07:59:00","2017/05/15",0
"17:00:00-17:59:00","2017/05/17",1
"02:00:00-02:59:00","2017/05/21",1
"16:00:00-16:59:00","2017/05/23",1
"20:00:00-20:59:00","2017/05/25",1
"11:00:00-11:59:00","2017/05/29",0
"19:00:00-19:59:00","2017/05/31",0
"08:00:00-08:59:00","2017/06/13",1
"16:00:00-16:59:00","2017/06/15",1
"03:00:00-03:59:00","2017/06/17",1
"15:00:00-15:59:00","2017/06/17",1
"20:00:00-20:59:00","2017/06/17",0
"22:00:00-22:59:00","2017/06/18",1
"07:00:00-07:59:00","2017/06/20",0
"16:00:00-16:59:00","2017/06/21",1
"06:00:00-06:59:00","2017/06/23",1
"11:00:00-11:59:00","2017/06/22",1
"17:00:00-17:59:00","2017/06/27",1
"10:00:00-10:59:00","2017/06/28",1
"00:00:00-00:59:00","2017/06/29",0
"20:00:00-20:59:00","2017/07/01",1
"03:00:00-03:59:00","2017/07/08",1
"17:00:00-17:59:00","2017/07/13",0
"16:00:00-16:59:00","2017/07/14",1
"23:00:00-23:59:00","2017/07/15",1
"22:00:00-22:59:00","2017/07/18",1
"10:00:00-10:59:00","2017/07/19",1
"17:00:00-17:59:00","2017/07/22",0
"08:00:00-08:59:00","2017/07/27",1
"Non précisé","2017/07/31",1
"07:00:00-07:59:00","2017/08/02",0
"18:00:00-18:59:00","2017/08/08",1
"14:00:00-14:59:00","2017/08/12",0
"09:00:00-09:59:00","2017/08/17",1
"10:00:00-10:59:00","2017/08/21",1
"10:00:00-10:59:00","2017/08/21",0
"14:00:00-14:59:00","2017/08/27",1
"09:00:00-09:59:00","2017/08/30",0
"15:00:00-15:59:00","2017/08/30",1
"15:00:00-15:59:00","2017/08/30",1
"09:00:00-09:59:00","2017/09/07",0
"10:00:00-10:59:00","2017/09/12",1
"08:00:00-08:59:00","2017/09/14",1
"08:00:00-08:59:00","2017/09/14",1
"17:00:00-17:59:00","2017/09/15",1
"12:00:00-12:59:00","2017/09/19",1
"22:00:00-22:59:00","2017/09/20",0
"18:00:00-18:59:00","2017/09/28",0
"09:00:00-09:59:00","2017/09/29",0
"13:00:00-13:59:00","2017/10/10",1
"08:00:00-08:59:00","2017/10/16",1
"08:00:00-08:59:00","2017/10/20",0
"08:00:00-08:59:00","2017/10/20",0
"Non précisé","2017/10/23",1
"08:00:00-08:59:00","2017/10/25",1
"09:00:00-09:59:00","2017/11/09",1
"17:00:00-17:59:00","2017/11/15",1
"17:00:00-17:59:00","2017/11/16",0
"15:00:00-15:59:00","2017/11/23",1
"16:00:00-16:59:00","2017/03/31",1
"21:00:00-21:59:00","2017/04/12",0
"21:00:00-21:59:00","2017/05/03",0
"11:00:00-11:59:00","2017/05/03",0
"15:00:00-15:59:00","2017/05/11",0
"19:00:00-19:59:00","2017/05/20",1
"18:00:00-18:59:00","2017/05/27",1
"03:00:00-03:59:00","2017/05/31",1
"14:00:00-14:59:00","2017/06/01",1
"08:00:00-08:59:00","2017/06/06",1
"03:00:00-03:59:00","2017/06/12",1
"12:00:00-12:59:00","2017/06/12",1
"14:00:00-14:59:00","2017/06/22",1
"08:00:00-08:59:00","2017/06/29",1
"13:00:00-13:59:00","2017/07/04",0
"17:00:00-17:59:00","2017/07/05",1
"15:00:00-15:59:00","2017/07/07",1
"01:00:00-01:59:00","2017/06/29",1
"00:00:00-00:59:00","2017/07/13",1
"17:00:00-17:59:00","2017/07/17",1
