OBJECTID,ID_SERV,INFO,NOM,AIRE_JEUX,ATHLETISME,BASEBALL_S,BASKETBALL,FOOTBALL,JEUX_EAU,RANDONNEE,ROULI_ROUL,SOCCER,SKI_FOND,TENNIS,TOBBOGAN_G,VOLLEY_BALL,PATIN_ROUE,RAQUETTES,PATAUGEOIRE,PISC_EXT,PATINOIRE_E,SUM_SERVICES,Shape_Length,Shape_Area,HECTARES,HaTypo,TypoParcCL6
179,7249.000000000000000,ROSEMONT-LA PETITE-PATRIE,PARC DE LA LOUISIANE,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6,1240.768960030905000,95272.031799940974000,9.527203179994098,c. 5 à 10 ha,E
180,7012.000000000000000,MERCIER-HOCHELAGA-MAISONNEUVE,PARC CABRINI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1818.841392568849600,95063.518449973664000,9.506351844997367,c. 5 à 10 ha,E
181,7647.000000000000000,WESMOUNT,WESTMOUNT,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,7,1297.264467985442700,91115.482550024637000,9.111548255002465,c. 5 à 10 ha,D
183,7270.000000000000000,ROSEMONT-LA PETITE-PATRIE,PARC SAINT-JEAN-DE-LA-CROIX,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,316.784300747367870,4809.006549993873700,0.480900654999387,a- Moins de 1 ha,A
184,6674.000000000000000,ANJOU,CHENIER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,456.941485605186190,11449.485949998867000,1.144948594999887,b. 1 à 5 ha,C
185,6793.000000000000000,DORVAL,JEAN-PAUL BERNIER,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,445.219443547492230,11356.504249977781000,1.135650424997778,b. 1 à 5 ha,B
187,7051.000000000000000,PIERREFONDS-SENNEVILLE,"BELVEDERE, DU",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,609.194585408430380,11219.004799981845000,1.121900479998184,b. 1 à 5 ha,C
188,7100.000000000000000,PIERREFONDS-SENNEVILLE,"VERSAILLES, DE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,445.760332595216200,11210.995950001881000,1.121099595000188,b. 1 à 5 ha,C
190,7085.000000000000000,PIERREFONDS-SENNEVILLE,MUNRO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,581.838189307335710,11065.994650014089000,1.106599465001409,b. 1 à 5 ha,B
191,6744.000000000000000,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,PLACE DARLINGTON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,661.815793952996730,11033.502299991094000,1.103350229999109,b. 1 à 5 ha,B
192,6711.000000000000000,BEACONSFIELD-BAIE D'URFE,MEADOWS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,421.038789344552240,11005.507099982939000,1.100550709998294,b. 1 à 5 ha,B
